	PTPN11	NRAS
BA2000	18.33296095742878	5.043675734302264
BA2003	7.823075791431777	10.560686431397826
BA2004	23.47420820016641	4.441235364145998
BA2006	1.599279212987121	6.575705504189619
BA2011	9.225160864995647	6.488344675152857
BA2019	25.598812631833862	7.803800858255831
BA2020	31.59595324254756	10.709729421914986
BA2022	27.51591386957487	8.019621620352721
BA2023	11.535227276580512	4.375188854380848
BA2024	13.850349536088828	5.175163513879563
BA2025	25.182250566504557	6.074731218320892
BA2031	17.168571781077897	4.219114009776729
BA2032	15.901849480276256	8.583705251658827
BA2033	18.392220963768025	21.634045078260016
BA2034	16.75767370192132	9.198614997934929
BA2035	26.829544816139027	6.8581726405028185
BA2036	21.002511009591736	5.895456678640012
BA2037	41.28393670453848	8.474187163433587
BA2041	20.85594645881212	10.108074498986811
BA2044	18.514651646389066	4.7535644907408665
BA2046	17.74777341783675	9.160481901497343
BA2047	23.775755698786437	7.613271283589593
BA2050	14.032474625170588	4.103686476329206
BA2051	23.501722762533824	20.82227021965971
BA2052	19.346997032607323	8.803722359895055
BA2053	13.034239391027915	9.031640140409914
BA2054	15.071847659067448	3.633549237992189
BA2055	1.0119939151741806	1.6282099596913011
BA2063	14.18531242809262	5.453141679979542
BA2065	23.213042788974004	7.008120709963036
BA2066	27.549712577286414	10.10974543956892
BA2068	15.169594363553628	6.301531117480288
BA2069	19.64144687919452	5.418720571825874
BA2072	12.509935270285276	3.975963751875416
BA2079	8.072035025066661	3.637880412457246
BA2080	14.96790543407779	10.09782677520544
BA2081	15.613771421052876	4.296904604494646
BA2082	16.516465158266154	11.946301068824308
BA2087	14.418054675323518	9.334338474733304
BA2088	24.432406247519264	13.1502236881413
BA2089	26.42817527039773	13.279025182733749
BA2093	24.761557552881506	3.900351353768402
BA2094	22.84219653932653	9.744641884173047
BA2095	22.24726061747656	6.152794819771235
BA2096	9.782062235194408	6.715911213656165
BA2097	29.00078867269143	13.917958079878336
BA2098	4.89760845693884	10.387971166225924
BA2100	12.578431475402214	4.6475452234853565
BA2101	12.241955188427031	6.084070489319454
BA2104	9.678008579946416	5.135247990444217
BA2106	11.404555741858657	10.134436245830772
BA2109	10.752236348741445	7.168784406456207
BA2110	9.173325205003731	3.345155971053532
BA2113	24.25003415351566	7.355297822797085
BA2116	34.54667256955986	11.5696457912037
BA2121	24.484211565819702	8.496779176483521
BA2122	8.187921438696502	4.026122374469674
BA2123	32.82053187434948	14.704105196105951
BA2124	17.461741457522745	5.235737433920034
BA2125	26.753085869426155	6.58007623618558
BA2132	20.169400258241318	7.287418557176935
BA2133	9.257241245749476	5.569103779560801
BA2134	11.564212451003634	3.1951470189520976
BA2135	16.330691859452898	10.07866878646148
