	ABL1	LUC7L2
BA2000	0.0146845710165825	0.2564155326009728
BA2003	0.0095313626532083	0.1421699595562114
BA2004	0.0112418889689978	0.1420430125157129
BA2006	0.0060003604902667	0.3314223779854621
BA2011	0.0100919250180245	0.1994517133956386
BA2019	0.0196629416005767	0.2899203831229163
BA2020	0.0263392213410237	0.5839475187189157
BA2022	0.0168979812545061	0.2838963627917145
BA2023	0.0098017303532804	0.1596157566814232
BA2024	0.0110868781542898	0.2936826938842433
BA2025	0.0185724585436193	0.2401652046783626
BA2031	0.0146377072819033	0.2151202792807564
BA2032	0.0132462148521989	0.2142289856260589
BA2033	0.0081723143475126	0.3541067388096409
BA2034	0.0197494592645998	0.2809334453735585
BA2035	0.0183687815428983	0.1841911925452259
BA2036	0.0147530641672674	0.2474321610100016
BA2037	0.0234264599855803	0.1476553943269388
BA2041	0.01598774333093	0.2363374050390774
BA2044	0.0127793799567411	0.1927575832103623
BA2046	0.0203460706560922	0.3595048095316172
BA2047	0.0213968997837058	0.2854284718806362
BA2050	0.0107462148521989	0.1333996556812592
BA2051	0.0223882480173035	0.2515826364977865
BA2052	0.013585075702956	0.3470699431600809
BA2053	0.0078983417447728	0.1742574602393835
BA2054	0.0082660418168709	0.245556785265344
BA2055	0.0044250180245133	0.1150693556320708
BA2063	0.033361571737563	0.277476539869924
BA2065	0.0192790194664744	0.2270390227906213
BA2066	0.0210976928622927	0.5543815652839263
BA2068	0.0152397260273972	0.2632298464229108
BA2069	0.0120782263878875	0.2581086653549762
BA2072	0.0101243691420331	0.177927146526753
BA2079	0.0053911319394376	0.1439138929879215
BA2080	0.0201568132660418	0.2056008362026561
BA2081	0.012382840663302	0.1589820735639722
BA2082	0.0226405912040374	0.1851562277969066
BA2087	0.0131452775775054	0.1580549543641034
BA2088	0.016995313626532	0.1782432092692791
BA2089	0.0200973323720259	0.5556498742963327
BA2093	0.0109012256669069	0.160777668470241
BA2094	0.0125342465753424	0.32819147947751
BA2095	0.0175198269646719	0.2439404000655845
BA2096	0.0067429704397981	0.1582136415805869
BA2097	0.0227577505407354	0.3142174946712576
BA2098	0.012664023071377	0.163151937476089
BA2100	0.0066240086517664	0.1970681395857244
BA2101	0.0096467195385724	0.1205880608842979
BA2104	0.0069358327325162	0.1140752445756135
BA2106	0.0121449170872386	0.1477647565174618
BA2109	0.0096160778658976	0.0894935645187735
BA2110	0.005677721701514	0.1573840930207137
BA2113	0.0232191780821917	0.3381510220254686
BA2116	0.0132804614275414	0.4172181095261518
BA2121	0.0142231434751261	0.3838493468874678
BA2122	0.0042213410237923	0.1635031152647975
BA2123	0.0203028118240807	0.242794911734164
BA2124	0.0179434030281182	0.352367464611685
BA2125	0.0150955299206921	0.2763821254850522
BA2132	0.0178821196827685	0.2478403153522435
BA2133	0.0063211968276856	0.2173996556812592
BA2134	0.0074351117519826	0.0936921353227305
BA2135	0.0098558038932948	0.2089760069956823
BA2139	0.0064852198990627	0.138926572662185
BA2143	0.0127180966113914	0.1038641034049297
BA2148	0.0149242970439798	0.1405060255779636
BA2153	0.0082390050468637	0.2014760069956823
BA2155	0.012382840663302	0.2631114390337213
BA2156	0.0208399423215573	0.2305027736787451
BA2162	0.0132804614275414	0.1097559982510794
BA2163	0.0161968276856524	0.2017852926709296
BA2168	0.0087941600576784	0.1264054489807072
BA2169	0.0112076423936553	0.1782671749467125
BA2171	0.0253118240807498	0.3480268486637153
BA2172	0.0166528478731074	0.2267063453025086
BA2174	0.0147224224945926	0.2581073673279772
BA2175	0.019388968997837	0.3262320052467617
BA2184	0.046326604181687	0.4022797863037656
BA2195	0.0100342465753424	0.1745928020987047
BA2198	0.0141474405191059	0.2185121468000218
BA2200	0.0183453496755587	0.4943443870579876
BA2201	0.0077883922134102	0.1554083866207575
BA2209	0.0153947368421052	0.2984390883751434
BA2211	0.0313320115356885	0.2931217549325026
BA2212	0.0161824080749819	0.2018869350166693
BA2217	0.0262707281903388	0.3027676804940701
BA2218	0.0069124008651766	0.2383629010220254
BA2220	0.0089419610670511	0.2567332212931081
BA2221	0.0084661139149242	0.1601297617095698
BA2224	0.0088914924297043	0.1980527682133683
BA2226	0.0220944484498918	0.4978190550363447
BA2227	0.0209408795962509	0.3509115565393234
BA2228	0.0196377072819033	0.317571418811827
BA2229	0.0153713049747656	0.3066691124228015
BA2233	0.0236860129776496	0.2031852216210307
BA2234	0.0152505407354001	0.269117614909548
BA2235	0.0130641672674837	0.2099410285839208
BA2236	0.018817591925018	0.1972428403563425
BA2239	0.0091726748377793	0.1688186314696398
BA2240	0.0207876712328767	0.2807882713013062
BA2242	0.0155587599134823	0.2989650762420069
BA2244	0.0166348233597692	0.3032729545827184
BA2245	0.0197404470079307	0.1228390309886866
BA2248	0.00905010814708	0.1227881210034431
BA2249	0.012557678442682	0.27362428266929
BA2251	0.0230894015861571	0.2324832759468765
BA2256	0.0136391492429704	0.2197969202601519
BA2260	0.0076297764960346	0.1485702027654806
BA2261	0.0063482335976928	0.0736721047166202
BA2269	0.006685291997116	0.1252125894955457
BA2271	0.0136319394376351	0.3077135459364923
BA2272	0.01	0.1860207957588675
