	NPM1	RUNX1
BA2032	9.3735473533766	7.95765939482996
BA2162	8.85577669200061	6.37358566074055
BA2564	8.74800571415782	7.79663560293131
BA2597	8.13547459853116	7.63393532286626
BA3243	8.84307877151568	7.40609048790591
BA2106	9.54945587390153	8.13938594647296
BA2427	8.91090509269608	7.38560317769133
BA2841	9.13342062895717	6.04647904010288
BA2446	8.33784249776874	6.23342882640082
BA2645	8.42798766039968	6.61649602743193
BA2525	8.34456564828853	5.30060514576655
BA2876	8.61151153389318	6.16229657509821
BA2357	8.95777690896205	7.01847365520979
BA2546	8.0301567645062	6.36695225743452
BA2742	7.87584460904621	7.41889646736553
BA2316	8.22855584188171	7.48163507084779
BA2421	8.28526081080175	7.48695721637732
BA2087	9.10147698629206	6.85707363149716
BA2910	9.22287720595147	8.25344779136567
BA2148	7.95609226155088	7.50861653894833
BA2063	8.34232080533324	5.38841032189554
BA2329	8.3972661940189	6.91733301258099
BA3178	8.76897254396233	6.42280633283907
BA2072	8.41135949860071	8.00619097456886
BA3029	8.78717245605116	7.92364245319313
BA2733	8.96458579397726	7.3212161814573
BA2995	8.45209623715645	9.09230819306279
BA2069	8.46185834013681	6.86281064555051
BA2100	8.70690950167434	7.54191215313676
BA2681	9.52517542791568	6.81883552060849
BA2248	9.19906475607931	7.92526519111295
BA2832	8.18813169577028	7.55189787670547
BA2308	9.48708042008341	7.4382687261571
BA2413	9.4045391740165	7.57003408038875
BA2701	8.7361512573159	6.83843057067482
BA2634	8.22240857358487	7.17761745050204
BA2677	8.79635277497105	7.16795764916514
BA2937	8.25344779136567	7.01983909137586
BA2600	9.2429894144776	7.53197491812839
BA2019	8.12986534537924	7.08227901596389
BA2412	6.82309107200081	6.15187477635529
BA2334	8.94087956106744	7.92699657991781
BA2050	9.34744684153524	8.20213208675208
BA3230	8.78108213178214	7.56567805381962
BA2953	9.69817061599593	7.79093203959201
BA2481	8.58191208164573	7.40510623344956
BA2731	8.46185834013681	6.17379906817959
BA2294	9.25517667754352	7.62205873798526
BA2418	9.1410080593907	8.5529001392332
BA2816	9.14863087419242	7.64636707538027
BA2656	8.93082572022568	7.64255001400601
BA2814	7.63755645913212	6.62033484572762
BA2631	9.3561004357089	7.78123623973778
BA2023	8.3311533449718	7.36910502551481
BA2375	8.84941498844258	7.95452812467512
BA2485	8.78899864293157	9.12011695971816
BA2455	8.3156761580726	6.33092888167036
BA2025	8.56338303703764	5.70757619671164
BA2636	9.10713869224013	7.60876718089275
BA2325	7.29687122589928	6.69807753006718
BA2169	8.51934782702254	7.07180826529373
BA2156	9.48238177689826	6.54978276410253
BA2511	8.46430959418229	6.52072194410879
BA2939	9.41350421836705	7.85486380528094
BA2168	9.20300948929151	8.02685700006077
BA2505	9.09230819306279	6.93954050250455
BA2860	8.97485330936457	6.26429986711095
BA2707	9.12210512882866	8.33337930026134
BA2871	8.66689198102969	6.24864350807345
BA2655	9.36916799017741	6.47279065497325
BA2227	9.42251934116338	8.08518191159815
BA2125	7.76334677298606	7.67493502317828
BA2523	9.33455230246716	8.16644533071452
BA2603	8.99558616821901	7.52776715607633
BA2808	8.70112769787832	7.8894951557827
BA2282	7.26503778677364	5.9389872636167
BA2482	9.04501990946176	8.42559982560594
BA2812	8.81487669872437	6.79581543973709
BA2822	7.14998539597838	7.91267481802265
BA2594	8.42798766039968	6.62843695703125
BA2747	9.35176787188011	8.62242404966029
BA2561	9.09970659968869	8.58191208164573
BA2567	7.54085820588458	5.31326361994662
BA2906	8.80250309714617	6.70639038824238
BA2956	8.11104544817006	7.57003408038875
BA2474	9.08127310626888	7.94466831928416
BA2737	8.02685700006077	7.52879493976561
BA2110	7.71347289714959	6.84719227215285
BA2992	9.18338030789918	8.06884590575294
BA2220	9.00955709168753	7.60876718089275
BA2772	9.42251934116338	8.03550248502968
BA2935	8.55029123602985	7.26238233832031
BA2260	8.75098362594822	7.81686981561798
BA2676	8.7361512573159	7.29162764738793
BA2948	7.55189787670547	6.31251579014812
BA2524	9.2592593958878	7.6685963483501
BA2811	8.83676787171411	9.0307417478067
BA2540	8.86857724833819	6.20872841683922
BA2928	8.7214605815193	6.74268846032395
BA2302	9.38234175781362	7.28800386009291
BA2595	9.09230819306279	7.4262875873266
BA2792	8.66689198102969	7.46679247570854
BA2651	9.17948259034573	7.59930957213068
BA2619	7.88191833711993	7.5098325342709
BA3013	9.54457000922792	7.94466831928416
BA2405	9.64008823387741	7.79800939146032
BA2735	9.08494318011795	7.74951233053604
BA2856	7.56206988956539	6.69192414230504
BA2377	8.74389874448259	7.60044547310861
BA2499	9.66095938066438	7.80094268898657
BA2463	8.4179334910987	8.61880009680474
BA3023	9.17948259034573	8.07789379739417
BA2095	9.13342062895717	8.85577669200061
BA2901	8.51425498508966	7.34547705030654
BA2275	6.9401836518602	7.80817251236376
BA2387	8.68106286594684	8.43037965011906
BA2962	9.73079295605488	8.00271116464237
BA2195	8.69249597847146	7.53093612416627
BA2688	8.77262692606308	6.27332825884915
BA2787	6.35352478320916	5.82191269814631
BA2420	9.09970659968869	8.79635277497105
BA2756	9.56420444046175	7.3875616099495
BA2122	7.70840071464408	7.27378385953679
BA2053	9.16784487350203	8.23886821722062
BA2080	8.92748837970555	6.46633469347968
BA2081	9.00255657247606	8.83048212173684
BA2354	9.30238239860393	6.98553956904008
BA3273	7.24904224136933	4.90986474335253
BA2893	9.50601427714714	8.69824500910271
BA2044	8.43758065182973	8.37180321609369
BA2489	9.15628939970288	7.10534081557561
BA2309	9.05942450247106	7.31758513982701
BA2720	7.7605970351598	6.23576326993081
BA2908	9.83621907237271	7.69790613813162
BA2054	8.54508752883457	7.42090370210596
BA2872	8.00271116464237	6.4108151402329
BA2526	9.09600320401444	7.32779530563549
BA2041	9.02011485988608	7.68775219309565
BA2464	9.07395764638915	8.04060780611373
BA2902	8.82734862624236	8.36494157515656
BA2541	9.18338030789918	6.79640967556144
BA2143	7.22867709025789	7.40707286933197
BA2094	7.79956921933088	8.24926512843891
BA2769	8.904319577833	6.96352997566574
BA2843	8.88148184246882	1.29229534870093
BA2592	9.57909169555586	7.59808663804993
BA2497	8.09067732991193	7.35957852119331
BA2718	8.61151153389318	6.84657434431718
BA2575	7.3614587281193	7.07486831392374
BA2096	9.4000752436972	7.48594354331146
BA2593	10.3090915070605	8.74389874448259
BA2791	9.14481502348153	8.54249270039127
BA2620	8.61695773628636	7.11216085325929
BA2629	9.4000752436972	8.3156761580726
BA2870	9.26745559419095	8.28526081080175
BA2423	7.73861349646242	6.69080762366511
BA2682	9.14863087419242	7.75780436658957
BA2276	8.91090509269608	7.56321071069528
BA2348	7.52987979374564	6.2114515075537
BA2709	8.81177412986094	7.54085820588458
BA2789	9.36480042798147	8.67821802831458
BA2694	8.92748837970555	8.34681429629083
BA2538	8.40429460371975	7.89563066633541
BA2583	9.44070228005406	8.80867768640892
BA2415	7.67493502317828	6.04734642903678
BA2722	7.0623479587219	8.33784249776874
BA2806	9.01306871894599	8.94761722776196
BA2221	7.99413751864958	6.1921407741856
BA3025	9.2389471182711	6.29315264064962
BA2514	8.62153057515291	7.03986452617139
BA2520	9.08127310626888	8.3311533449718
BA2441	7.40108920011618	6.73745939965324
BA2153	9.57909169555586	8.06706072393759
BA2479	8.22832881693221	5.70908891657494
BA2281	9.01658796485945	8.68391306436784
BA2657	8.33560901482561	7.77846043065093
BA2932	9.12210512882866	8.3156761580726
BA2123	9.57909169555586	8.0760787079227
BA2844	9.22687989289351	6.30418081628279
BA2660	9.06304565250042	7.95104961478815
BA2836	8.74800571415782	7.61949698331246
BA3027	7.63041516939983	5.78731556681433
BA2714	8.89122942781574	7.93658206656699
BA2139	6.80299244523417	6.4489544024993
BA2251	8.32671267592458	6.1556592421586
BA2952	8.16254296358662	7.40406179513594
BA2440	8.39493145233583	7.04775148018528
BA2036	8.75695672842528	9.25517667754352
BA2828	8.09804401257278	7.22543117773692
BA2292	8.98173476670244	6.80845562026412
BA2410	9.34313727945847	8.52190108216259
BA2051	7.46363654414575	7.1956195388029
BA2532	7.45571345371651	7.01060112681321
BA2986	8.95099667095566	7.5075244144456
BA2494	8.39027400222105	7.25790347094091
BA2515	8.66407371953991	6.48803668934059
BA2748	9.33883912107995	6.5808607051832
BA2970	8.8589671548512	6.1821095995856
BA2622	8.65006116973985	8.03722226484621
BA2839	8.72438748273975	8.91090509269608
BA2052	9.10713869224013	7.98386019261508
BA3011	8.50277388292747	7.42313394469991
BA2868	9.00255657247606	6.46333894051768
BA2510	9.01658796485945	4.1972207613263
BA2065	9.20696376307392	8.39027400222105
BA2691	8.11104544817006	7.49358396361658
BA2374	8.21222936163239	7.02480711295981
BA2804	8.8879736022598	6.75251712721233
BA2670	7.93824432889201	7.57604503702852
BA2675	9.08494318011795	8.07426638068647
BA2589	8.38563253120242	7.26585264294213
BA2031	8.87824586229709	7.6112304020112
BA2198	9.39118419839355	8.99211218550823
BA2066	8.28097335559112	7.23036606098158
BA2344	9.57411368730524	7.53734841909383
BA2459	9.38404554334867	8.28924318234402
BA2229	8.53473617000875	7.33073792117204
BA2559	8.68391306436784	7.76200686781066
BA2093	9.23491479941431	9.37793858616158
BA2000	8.08701091285537	7.77161485169371
BA2425	8.47600328572046	7.53511002571526
BA2905	9.22687989289351	7.41889646736553
BA2304	7.16215175411855	6.41128456721012
BA2976	8.65285322774346	7.3212161814573
BA2386	9.09970659968869	8.33337930026134
BA2035	9.33455230246716	8.6306614688285
BA2760	8.29820901257083	6.77834045992494
BA2201	8.89776108628452	7.50539293842063
BA2355	8.59260663428802	7.33250978911574
BA2113	8.50026123971081	7.87430709609213
BA2155	8.99906762077278	6.8911840063889
BA2955	8.07971165578759	7.15876570695721
BA2502	8.05457002396872	7.21053357648558
BA2322	8.93082572022568	8.30691336971867
BA2376	6.97993778438247	6.52836297577895
BA2020	9.15245565249128	7.44544500262934
BA2226	8.81487669872437	7.86519796261888
BA2200	9.30065851731011	9.16398396797258
BA2121	8.92748837970555	7.67751428719864
BA2944	9.90525526471174	7.84127876561754
BA2033	7.17761745050204	6.83661488155882
BA2867	8.66126072825912	7.90342171341614
BA2089	7.65513327960109	6.3811905938473
BA2224	8.38331776349613	7.80392510487274
BA2046	9.3217592552912	8.3513230443853
BA2972	9.160132157513	6.64684027167279
BA2978	7.85205086731265	6.59622051144561
BA2829	8.79635277497105	8.5529001392332
BA2851	8.5529001392332	7.33339060020607
BA2587	8.72438748273975	8.5529001392332
BA2461	7.94314055717551	6.3423350524195
BA2695	7.68652733200955	7.02978091514104
BA2623	9.57411368730524	8.62242404966029
BA2024	7.58759859001841	6.81394894542996
BA2426	8.88148184246882	7.66015357873811
BA2271	7.95452812467512	8.23267071257109
BA3004	8.57129520837751	8.7629529869435
BA2579	7.85633367820174	6.18294422218273
BA3010	9.00605305286098	7.51413414557592
BA2662	8.34232080533324	7.3212161814573
BA2674	9.15245565249128	8.48158973981744
BA2280	8.50160207030541	9.08862153045619
BA2512	6.81629782268832	6.90877033903166
BA2658	9.070312190258	5.53130217583918
BA2394	8.21222936163239	8.89449191470128
BA2950	9.49651930986164	7.80094268898657
BA2981	8.63894476137773	8.1336646480907
BA2934	7.22625304922136	5.4943411471575
BA2539	7.8925772722697	6.38171333036269
BA2249	8.63894476137773	8.27456876079558
BA2034	8.94268168369866	7.878761730409
BA2109	7.61245153291675	6.62086223855277
BA2242	8.12041880838799	8.21020338316209
BA2277	8.68676863894814	8.14898150925669
BA2727	9.83304132704525	6.82309107200081
BA2132	8.672544374331	7.631611105114
BA2618	8.61151153389318	7.41308925427417
BA2521	8.672544374331	8.40194775982719
BA2846	9.1755941413251	8.58457840504288
BA2885	8.02142525655183	7.05570452227078
BA2639	9.04860912314158	8.7629529869435
BA2775	8.84941498844258	7.98898804212453
BA2402	9.26335235036244	7.68895709467278
BA2097	9.44070228005406	7.66735491479546
BA2786	9.34313727945847	6.07058706634591
BA2399	9.44070228005406	8.92415796681604
BA2850	8.91090509269608	8.89776108628452
BA2174	8.34232080533324	7.24904224136933
BA2004	7.48933909555342	6.70141361221983
BA3001	9.69817061599593	8.50160207030541
BA2311	7.93028682049466	5.77033121359801
BA2483	8.48343527695382	8.46125654532408
BA3040	9.00605305286098	7.28800386009291
BA2837	9.37793858616158	7.20544727648903
BA2724	8.5607551950315	6.84900595542396
BA2911	9.35176787188011	7.6954634086272
BA2256	9.43613726309062	7.88342196520891
BA2821	9.69817061599593	7.89717932578411
BA2233	9.19906475607931	8.23061160269424
BA2744	9.34313727945847	8.27456876079558
BA2880	8.34906675857089	6.38738832095137
BA2621	8.28097335559112	6.68242645093915
BA3002	8.42744390017979	8.21405263917023
BA2501	8.48407580140491	8.19611264417946
BA2993	8.84624370479657	8.06147774301482
BA2301	8.06147774301482	6.6441169206914
BA2852	8.29820901257083	6.54204262926234
BA2133	7.83554388846121	5.38803577864658
BA2866	9.19906475607931	7.64895583047878
BA2212	9.33455230246716	7.04918884608735
BA2685	9.39562360946183	7.15078589361001
BA2273	8.83362186336888	7.87430709609213
BA2477	9.29229417829056	7.94936162159169
BA2659	8.45453034732936	7.52196174027097
BA2124	9.49819442110274	8.25109369476589
BA2363	8.84941498844258	7.72127626045477
BA2369	8.79328666582968	7.12664090320603
BA2534	9.0271917203024	7.66369633945432
BA2400	9.46836798648192	8.12230223339654
BA2762	8.96117775713075	8.0044307958278
BA2312	8.79635277497105	7.23636521102564
BA2813	9.54457000922792	8.71562351354988
BA2211	9.17734760232419	9.1314039045803
BA2171	9.17171491689544	8.70690950167434
BA2746	7.89401548128851	6.76777472760262
BA2798	9.67679810675791	8.0301567645062
BA2809	9.1872873383188	8.2874098816496
BA2288	8.55505298542423	6.56942061445838
BA2801	8.32449794408229	6.40688318423783
BA3030	8.66873090783595	6.8958209414819
BA2588	9.44070228005406	7.74666982029682
BA2296	9.28397254525379	6.68242645093915
BA2300	8.69249597847146	7.42090370210596
BA2903	6.47376016789819	5.70452449404762
BA2473	9.13518361120238	7.19903013947942
BA2545	8.25764420926654	6.40549948389557
BA2840	8.5971359914493	7.37002936753922
BA2528	9.14863087419242	8.41846114844672
BA2646	8.84941498844258	8.12607789280928
BA3407	8.40429460371975	6.81145766315316
BA2240	8.25554427681065	8.38331776349613
BA2926	9.48238177689826	6.8791208631907
BA2272	8.26607857536642	6.91521402329812
BA2306	8.87501645157825	7.25527706310904
BA2765	7.08068398565122	7.17197273809379
BA2904	8.52958832512444	8.04414638908848
BA2883	9.05581138653334	7.68529642962647
BA2726	6.49846429425474	6.53298741802549
BA2234	7.19816924570359	6.48902852435197
BA2022	8.91751782379931	8.7214605815193
BA2228	8.48906113697349	6.87718695252014
BA2037	9.49651930986164	7.76884228347361
BA2184	9.2592593958878	6.85025853686514
BA3009	9.06304565250042	7.72809482559201
BA2842	7.37484847247432	6.54204262926234
BA2442	8.86536741111737	7.97720455656684
BA2882	7.69790613813162	6.12991458455326
BA2758	8.01121552663761	6.93954050250455
BA2705	8.4594113881339	8.51425498508966
BA2663	7.58640399756741	6.13505858445244
BA2570	9.070312190258	7.40305574053771
BA2764	7.86519796261888	6.36086030376613
BA2209	8.23267071257109	5.2557008751781
BA2989	8.87824586229709	8.91420804405317
BA2855	7.70582137825133	7.08671523409321
BA2261	7.49565796423242	7.06094242567649
BA2721	8.41608983118813	7.95104961478815
BA2930	7.75371580805874	7.05213628356552
BA2728	7.74132890165977	7.07845414922519
BA2715	7.71215406681609	8.27031665707811
BA2469	7.96260346447077	6.43146976668751
BA2269	7.15633759792086	6.72932018001604
BA2098	8.09251475928632	7.45053981568106
BA2778	6.98621603600523	7.28268371584317
BA2951	9.78674968596522	8.81177412986094
BA2163	7.09568366825665	7.47212920454885
BA2379	7.31397253852267	6.96912043899967
BA2817	7.86671215518685	2.99842729770843
BA3153	7.92699657991781	5.62607242115432
BA2820	8.20414503388581	8.04242466385173
BA2723	8.22445433533228	6.11928256232472
BA2704	9.23491479941431	9.07761127342397
BA2088	8.3972661940189	5.98220791058853
BA2116	6.78491577385659	6.76359470107912
BA2584	7.87430709609213	6.72183111998027
BA3079	8.24717893447311	6.87718695252014
BA2417	8.47910806756512	8.17232215906216
BA2361	8.09067732991193	6.56065461359229
BA2450	8.75995195431454	8.57394218930808
BA2492	7.35202275514424	6.17598273714894
BA2552	9.4270458724936	8.25135474465914
BA2472	8.04060780611373	7.70582137825133
BA2994	9.04501990946176	8.904319577833
BA2047	8.54249270039127	7.37002936753922
BA2101	8.5117153749805	7.07770710445007
BA2082	8.97829037472744	6.68127929274665
BA2879	7.48057619109315	7.30768711424343
BA2577	9.4000752436972	6.62413100331839
BA2456	8.22445433533228	6.57560815980456
BA2175	6.84399982384708	7.30948834304819
BA2824	8.58457840504288	9.22687989289351
BA2507	9.15245565249128	8.60067902691643
BA2563	9.21888429779212	8.93417001363455
BA2244	8.44966638628301	7.50539293842063
BA2470	8.66407371953991	8.27031665707811
BA2984	8.74503353869987	8.46185834013681
BA2414	9.11835064360706	8.26607857536642
BA2697	7.00782899353321	5.85542200416075
BA2079	6.63915578339387	5.88526249443146
BA2999	8.59529250724368	8.87824586229709
BA2644	8.30909856685695	6.6795007159625
BA2011	8.00619097456886	6.00051445317703
BA2217	9.35176787188011	6.39408540771364
BA2454	9.13720994130471	8.69249597847146
BA2776	9.1872873383188	9.44528028465592
BA2218	9.47302564786274	7.59694470359064
BA2135	9.53000194332933	7.68134464101013
BA2914	7.96905854853838	7.07251029744415
BA2500	7.68775219309565	8.5117153749805
BA2830	9.79819104218496	7.71088637463883
BA2406	8.13176351189552	6.74612605168156
BA3108	9.44528028465592	8.36266215228094
BA2924	8.76595984417136	7.64778904816974
BA2303	7.93352218493006	6.94294359338222
BA2160	8.82110029202306	8.30473182450184
BA2038	8.40194775982719	6.98756290986723
BA2602	8.32893113987774	6.98419090856441
BA2964	7.878761730409	7.1158850415745
BA2898	7.94635895319707	6.69750566900229
BA3003	7.88191833711993	6.52889213798317
BA2111	8.01457218763256	6.8867637487898
BA2827	8.18020169656618	6.732801148639
BA2912	8.18217944661747	6.37975842200095
BA2437	8.21832699326225	6.78618260321054
BA2283	7.92868137841977	6.46528423305325
BA2057	7.89563066633541	6.51205995717627
BA2633	8.3603866090308	6.82908216215166
BA3034	7.97720455656684	6.61380571566026
BA2607	8.18813169577028	6.59094704308975
BA2761	8.40194775982719	6.48462547088391
BA2795	8.00271116464237	6.58028734101557
BA2182	8.19411260375688	6.6952290990594
BA2152	7.89401548128851	6.59569193185131
BA2381	9.55927298456459	8.32449794408229
BA2931	8.34456564828853	6.84162430439576
BA2040	7.72277870826456	6.47228949068298
BA2590	9.34744684153524	8.70112769787832
BA3195	9.4045391740165	8.60337970015667
BA2516	9.40177461105289	7.54191215313676
BA2353	9.62461563502098	8.23267071257109
BA3036	9.44070228005406	7.44839655086442
BA2971	8.05801802157941	7.38361760058351
BA3410	7.99739906746641	7.42928783450574
BA3118	8.8525926437112	7.45275636284168
BA3206	9.09600320401444	7.32679901700122
BA3202	8.84307877151568	6.06255807626612
BA3217	9.33455230246716	8.60337970015667
BA3405	7.61245153291675	7.67359575985668
BA3306	9.27982760161886	7.96744532914178
BA3371	8.91420804405317	6.95150045701844
BA3413	9.33027676031699	7.17595663951225
BA3411	8.88148184246882	6.81811142246577
BA3133	7.55977224878375	7.51630069461518
BA3164	8.77804587995587	8.32671267592458
BA3451	7.44242521067177	7.13359161213086
BA3286	8.50412364911741	7.57724219112205
BA3212	7.50105244518025	7.69023500088856
BA3103	8.7420670822246	8.00271116464237
BA3271	8.92748837970555	8.49406416345013
BA3152	7.13359161213086	6.71035314821396
BA3095	8.61695773628636	8.49657233882556
BA3192	9.4000752436972	8.70112769787832
BA3251	8.7420670822246	7.85205086731265
BA3362	7.81686981561798	6.62413100331839
BA3400	8.15477520582082	8.13747585819058
BA3135	9.25517667754352	8.09619809378225
BA3408	8.42321613548815	5.26602721557854
BA3187	8.65006116973985	7.73200199894925
BA3098	8.77804587995587	8.57925061313916
BA3435	9.4000752436972	8.31347995218337
BA3261	9.06667487040862	6.36467185423724
BA3203	7.19738153999511	6.71610247691018
BA3174	7.89563066633541	7.60395254604328
BA3317	9.90525526471174	8.73025810259064
BA3299	8.268195867683	7.5075244144456
BA3221	7.54085820588458	5.80067915322974
BA3347	7.9003747386446	6.87589317842963
BA3235	6.9965338713589	6.86648111845466
BA3126	7.65148276489013	6.89511146582289
BA3380	9.05220627117217	7.73071674907066
BA3089	9.4917929010063	8.2960419873451
BA3109	7.91267481802265	7.06166102601644
BA3114	8.27456876079558	6.5435898741168
BA3418	9.1755941413251	6.8602531678363
BA3245	6.72876764999848	7.2456266527422
BA3085	9.2109276242084	7.5725144548201
BA3128	9.4045391740165	8.14705635633251
BA3423	9.59916222255831	8.25764420926654
BA3173	9.26335235036244	6.97383568837724
BA3171	7.55754763062472	7.36724009431295
BA3277	8.79022656584331	8.18020169656618
BA3210	8.24301678047805	7.54295367203655
BA3157	10.1099887487995	8.92083445647999
BA3433	8.7214605815193	8.44724078411408
BA3322	8.25554427681065	6.43046914091516
BA3374	8.92415796681604	6.44227342376241
BA3450	8.63894476137773	7.94145634611773
BA3167	9.04501990946176	7.30768711424343
BA3269	7.80392510487274	7.33529770605395
BA3110	9.20870997646767	7.27982858914582
BA3156	9.73079295605488	6.32868471625961
BA3226	9.55927298456459	8.77804587995587
BA3421	8.25344779136567	7.03474280183588
BA3232	9.03786515454843	8.35358316301659
BA3289	7.61833712147791	6.92559422045597
BA3430	7.74666982029682	6.39027254472215
BA3145	8.61695773628636	7.77015373984418
BA3399	7.84567146798846	6.76002445528346
BA3449	9.45447558148811	7.70197141870837
BA3384	8.824221356442	8.0301567645062
BA3427	7.21134659078952	7.18556384102574
BA3163	7.08148396341999	5.74129207216541
BA3158	9.2592593958878	7.65513327960109
BA3436	9.67679810675791	8.84307877151568
BA3154	7.76749698582267	6.40549948389557
BA3162	8.60337970015667	8.25554427681065
BA3352	9.67313133431446	8.61607464234973
BA3084	8.78717245605116	7.00146186913291
BA3149	7.8210975174081	8.17428733914348
BA3169	8.24301678047805	6.91326402535282
BA3180	9.11460476788528	8.61968837224666
BA3255	8.64449262965366	8.2409408040855
BA3438	9.3735473533766	7.72809482559201
BA3345	7.67751428719864	6.04484767922597
BA3403	8.41372261793503	6.73865750312275
BA3431	7.86519796261888	6.71095851013656
BA3181	8.39960495989321	7.55754763062472
BA3341	7.99413751864958	7.61949698331246
BA3191	8.36494157515656	7.63278489020753
BA3197	8.97829037472744	8.25764420926654
BA3448	9.08494318011795	7.76884228347361
BA3453	8.80867768640892	7.46894970580743
BA3406	8.79635277497105	7.83268389248944
BA3308	9.38675693832204	9.19120372633416
BA3186	8.48399844841995	7.58065740201547
BA3334	8.7214605815193	7.29431703031285
BA3447	9.60422004710875	7.14687001357008
BA3116	8.70401585675217	6.41947371786185
BA3280	9.25110414260315	8.5529001392332
BA3185	8.5373170330564	6.25854276374572
BA3094	8.59798330037588	6.2379984984627
BA3318	8.47663077360064	6.87212018212394
BA3216	8.8879736022598	8.0760787079227
BA3332	9.36916799017741	7.93502206043898
BA3214	9.51245452204643	6.59838838471777
BA3099	8.8717935877338	8.79635277497105
BA3141	9.43158515365849	8.19611264417946
BA3373	8.78108213178214	7.42090370210596
BA3319	7.51413414557592	7.37299295258264
BA3328	8.07971165578759	7.97388709664949
BA3339	8.07425460403884	5.72866766844001
BA3240	8.97485330936457	8.17822710034905
BA3142	8.62516478231551	9.10341841676742
BA3333	8.98864564355709	8.32449794408229
BA3381	8.18217944661747	7.30768711424343
BA3290	8.25344779136567	7.12664090320603
BA3207	7.11965805588277	7.10693286579065
BA3296	7.05061628699762	6.1842076331656
BA3305	8.59260663428802	7.53093612416627
BA3434	9.18338030789918	8.49908497066643
BA3189	8.87824586229709	8.68106286594684
BA3264	8.69536777456055	8.41846114844672
BA3329	9.45616130594571	6.64579190444665
BA3417	8.57925061313916	6.54307132156237
BA3367	7.38257507273258	6.70309367478267
BA3225	6.41555515164963	7.07025966230358
BA3183	8.88148184246882	7.92699657991781
BA3222	8.70401585675217	6.58940815390926
BA3139	7.46894970580743	8.70874486254081
BA3397	6.732801148639	8.06884590575294
BA3311	7.04704814373678	7.08368088883067
BA3422	9.02011485988608	7.98898804212453
BA3228	8.92415796681604	8.3972661940189
BA3213	8.62516478231551	8.09251475928632
BA3270	8.31787605128572	7.18474506245045
BA3415	7.56784611916855	8.672544374331
BA3324	8.5607551950315	7.65148276489013
BA3194	8.68106286594684	6.92239609110895
BA3335	8.19211577067672	8.6697155276332
BA3199	9.4000752436972	7.41600983782201
BA3326	8.22036612888066	5.81007696621955
BA3285	7.61362919863888	8.42744390017979
BA3297	8.05288390011611	8.1981158996604
BA3227	8.79022656584331	8.99211218550823
BA3394	9.39118419839355	7.13831231065164
BA3412	7.81249915728454	5.20189485084995
BA3293	8.85123237146193	9.22062772367926
BA3250	7.96260346447077	7.63755645913212
BA3177	8.77199110438686	8.54508752883457
BA3315	8.34906675857089	7.10534081557561
BA3182	7.94936162159169	7.62683244469809
BA3260	7.42825345365406	6.00431982068801
BA3369	8.66407371953991	7.84567146798846
BA3078	8.96297616127633	8.29355254161206
BA3386	8.89776108628452	9.19512951707567
BA3445	8.25135474465914	7.26066025557169
BA3452	8.77199110438686	7.46577618872004
BA3176	9.21490111990201	8.00107447892983
BA3258	7.18983138735934	6.64862107605335
BA3295	8.05972702484149	7.58290428004672
