	NPM1	RUNX1
BA2392	9.6874475749889	8.22240857358487
BA2611	9.60929418124753	8.24509615455004
BA2506	9.61949185438657	8.23267071257109
BA2430	9.61949185438657	8.27031665707811
BA2448	9.61438474364243	8.26607857536642
BA2730	9.62461563502098	8.27670009201677
BA2845	9.57909169555586	8.32671267592458
BA2326	9.58408544068247	8.31347995218337
BA2341	9.58909503454725	8.35811493599106
BA2612	9.55927298456459	8.31347995218337
BA2973	9.56915130536806	8.32007964073217
BA2390	9.55927298456459	8.29387857030758
BA3218	9.56420444046175	8.31347995218337
BA3105	9.53000194332933	8.24926512843891
BA3402	9.53484314535953	8.27456876079558
BA3276	9.51556606369543	8.25764420926654
BA2409	7.88494695067266	6.75831323775631
BA3037	9.1755941413251	7.64377441186557
BA2496	8.3156761580726	7.0949820634578
BA2172	9.2592593958878	6.54875546973009
BA2865	9.53484314535953	8.40664550150058
BA2923	6.98208266015901	7.4382687261571
BA2751	9.13897207935234	9.45155824142257
BA2480	8.38563253120242	9.25110414260315
BA2286	9.51078302100883	7.82833379039141
BA2922	9.78674968596522	8.52958832512444
BA2452	9.33027676031699	8.84624370479657
BA3379	9.31328611186612	7.11145591609312
BA2887	9.06304565250042	7.53303259081949
BA2712	7.82549928808227	7.50436087643108
BA2068	8.67821802831458	8.0179995830141
BA2236	8.75995195431454	8.79022656584331
BA2104	6.91599118004167	7.2245944685398
BA3124	8.84307877151568	7.10925539195399
BA3395	8.58457840504288	8.68106286594684
BA2921	9.00605305286098	8.14513423086413
BA2449	9.52036350053221	7.18474506245045
BA2003	9.04501990946176	8.13747585819058
BA2360	9.4000752436972	6.17338143773516
BA2802	7.15633759792086	7.51299557490928
BA2235	8.83362186336888	7.56436701911919
BA2858	8.91420804405317	6.5181383405608
BA3038	7.73462168625585	7.39635430321553
BA3006	9.15245565249128	8.75098362594822
BA2245	9.0307417478067	9.09600320401444
BA2667	9.13720994130471	7.40804987020109
BA2239	8.17428733914348	7.09710413510838
BA2782	7.59101188148724	6.67339810625054
BA2649	9.2429894144776	8.91751782379931
BA2488	7.91111348596979	8.48407580140491
BA2861	9.11460476788528	6.18992574647122
BA2909	7.83704881770087	6.91854859965898
BA2429	8.66493693752935	7.12040364606583
BA2653	8.41556616709075	7.68013043810275
BA2134	8.30037965468589	7.06371663624663
BA2947	9.91920628125652	7.78123623973778
