	TP53	NRAS
BA2662	7.00423488076259	6.61275930528802
BA2674	6.61328782678973	7.21542521128511
BA2280	7.50002964161751	7.56567805381962
BA2512	6.36648969189247	6.88742207164032
BA2658	6.51657057172327	7.51191595859432
BA2394	6.12947427780454	7.03549223810054
BA2950	6.24055068924258	7.78253531759111
BA2981	3.91918119992111	8.25135474465914
BA2934	4.63280713637761	6.95344802847081
BA2539	6.03692689677874	6.43882504176683
BA2249	6.88614746987226	7.39635430321553
BA2034	7.18078818168097	7.57949702449786
BA2109	4.73402493935974	7.4382687261571
BA2242	6.34412105865143	6.98688341334907
BA2277	7.13198010911185	7.03918975972709
BA2727	7.19738153999511	7.05292631391108
BA2132	5.44826154156483	7.54856623986657
BA2618	6.62357481456438	6.68477667416407
BA2521	7.02624764830014	6.84657434431718
BA2846	6.09387139945137	7.4333053034535
BA2885	6.59569193185131	7.27205163282357
BA2639	7.29348678773891	7.25358458154246
BA2775	6.54456958822718	6.56583781452914
BA2402	5.83678289113702	7.43138197639579
BA2097	5.89165055148412	7.78401208165605
BA2786	6.6268478891503	7.56321071069528
BA2399	6.8791208631907	7.69160326863138
BA2850	5.81839607751016	7.78123623973778
BA2174	6.49504433110095	6.79463806745523
BA2004	6.59256890621003	6.61536224183286
BA3001	7.67233847579442	6.89839628157059
BA2311	5.98546472831244	7.06302085430374
BA2483	6.85025853686514	7.13198010911185
BA3040	7.4372988989966	7.22042069105103
BA2837	6.23620830247888	7.52657913903788
BA2724	4.95436820669726	8.07789379739417
BA2911	6.6639864599992	7.22294227292879
BA2256	6.45750445904916	7.83704881770087
BA2821	7.09853964665219	7.11072300969941
BA2233	5.47397012091034	7.89717932578411
BA2744	7.52657913903788	6.73922514739457
BA2880	5.89840678151491	7.2456266527422
BA2621	5.39605181278963	7.04344633578654
BA3002	6.79581543973709	7.35390839708449
BA2501	6.48066088985819	7.16132716982423
BA2993	5.57935496877716	7.59101188148724
BA2301	5.09007782361131	7.92045916247849
BA2852	4.49309800823268	7.53093612416627
BA2133	4.62677440639043	7.26938021173089
BA2866	6.72932018001604	7.13513562600345
BA2212	5.34471469248409	7.88494695067266
BA2685	6.06637986410425	8.03722226484621
BA2273	5.75263805334011	7.88642489400613
BA2477	7.25358458154246	6.69750566900229
BA2659	6.22243678568209	6.87971926016812
BA2124	7.5725144548201	6.72640507458581
BA2363	6.26429986711095	6.67668520784891
BA2369	5.0883096858926	7.99915514777274
BA2534	7.20308831152753	7.07180826529373
BA2400	6.90940702790402	7.04851156959908
BA2762	5.58914523241343	7.94936162159169
BA2312	5.95116187542659	6.95615389337193
BA2813	6.42812418967041	7.78401208165605
BA2211	7.49457772487061	7.00853195755675
BA2171	7.00146186913291	7.10380554442151
BA2746	5.85501990072082	7.54404101452516
BA2798	5.2557008751781	8.52702131941912
BA2809	6.47426873472503	7.29162764738793
BA2288	4.81163956900901	7.38062061343463
BA2801	4.20521607487653	6.96091622827791
BA3030	6.59519386649706	6.57195133441217
BA2588	6.60688950527526	6.90877033903166
BA2296	7.145353174227	7.10380554442151
BA2300	4.23895301881926	7.08368088883067
BA2903	3.22599710926517	7.16876088952225
BA2473	5.44754405856203	8.12599675573878
BA2545	6.56532526138634	6.71895435387141
BA2840	5.99152342299614	7.05796014084047
BA2528	6.84277692729058	6.67112647924208
BA2646	6.61380571566026	7.34929269675225
BA3407	5.19161041350932	8.16059641320183
BA2240	6.54504027868998	7.40804987020109
BA2926	7.05061628699762	6.43590316276273
BA2272	6.71095851013656	6.7421473941764
BA2306	6.69465878054587	7.47416545591404
BA2765	5.58306894890271	6.63915578339387
BA2904	6.44227342376241	7.08440089746741
BA2883	4.43894159347348	7.84423149870525
BA2726	6.04401665671066	7.1288906231397
BA2234	6.57305438035027	6.93623650693789
BA2022	7.02978091514104	7.33890799019329
BA2228	5.6834289695156	7.86375133258917
BA2037	7.61833712147791	6.88492067829042
BA2184	7.34177007998791	7.16215175411855
BA3009	6.28051995140614	7.14612289543671
BA2842	4.35426803475998	7.34277993266588
BA2442	6.36982886713941	6.80116720365205
BA2882	6.00134650129498	7.1030737643179
BA2758	6.03193635166747	7.06736498172321
BA2705	5.01042178805716	8.34007975821985
BA2663	4.59723676314568	7.19985683529985
BA2570	5.92793175730426	7.17913715940168
BA2764	6.17423728477739	6.45300101587846
BA2209	4.57620385088589	7.947879626465
BA2989	5.61586637721502	7.96422079504262
BA2855	4.90535576746464	7.617186143553
BA2261	3.09816416471119	6.81811142246577
BA2721	6.90623565218771	6.75309739437635
BA2930	6.38550593619779	6.93558317816731
BA2728	6.76656262392125	6.78865136154736
BA2715	4.54449196266661	8.18217944661747
BA2469	3.65217826413879	6.21539686316165
BA2269	4.41901213347142	7.07329793491951
BA2098	6.83151108322253	7.06596636229514
BA2778	6.40454724548096	7.04704814373678
BA2951	6.99377561399407	6.45750445904916
BA2163	7.5552619353094	7.35957852119331
BA2379	4.70101175635619	7.89108706846145
BA2817	4.56799936889978	7.88642489400613
BA3153	4.74113609559812	8.59529250724368
BA2820	7.01338554790523	7.02624764830014
BA2723	3.80561258862819	7.88793681406652
BA2704	7.36910502551481	7.14840411383597
BA2088	5.58306894890271	8.12418859250955
BA2116	3.65588909933936	8.0044307958278
BA2584	6.88364306076419	7.39734461578024
BA3079	4.25793262725042	7.08521741719084
BA2417	6.22157033382946	7.56567805381962
BA2361	4.25981249131916	7.60044547310861
BA2450	7.39734461578024	7.3445927403943
BA2492	4.23241801519581	7.90490568648577
BA2552	6.01215704616716	7.61362919863888
BA2472	5.49138177082753	7.49565796423242
BA2994	6.53744053114805	8.05801802157941
BA2047	6.60634523087502	7.28712238553665
BA2101	5.99436956978052	7.45963779857083
BA2082	5.05791386338245	8.08153228980509
BA2879	4.0915518275327	7.83985748399556
BA2577	7.47732145799094	6.78802478417111
BA2456	5.43733644220612	8.30909856685695
BA2175	4.04029489753007	7.76614073791854
BA2824	7.99573716734119	7.22867709025789
BA2507	6.68646890696546	7.83840005803793
BA2563	7.42825345365406	7.13917152831013
BA2244	7.01060112681321	6.98553956904008
BA2470	6.40785243829132	7.51413414557592
BA2984	6.40360502181603	7.48382605156173
BA2414	7.55189787670547	7.15798365655759
BA2697	5.66167475958567	6.54766219361137
BA2079	5.34829013725005	6.79581543973709
BA2999	6.7478553015081	7.42090370210596
BA2644	6.82612058067876	6.64915964619014
BA2011	4.74322903691124	7.45571345371651
BA2217	7.74666982029682	7.23974353995359
BA2454	7.37198491161906	7.38062061343463
BA2776	8.25344779136567	7.25696535562506
BA2218	5.08617132532278	8.18813169577028
BA2135	6.02937141783307	8.37180321609369
BA2914	6.70250395591763	6.78074983432615
BA2500	6.00261866586335	7.41990509181254
BA2830	6.08237851607355	8.20616122712402
BA2406	3.88038335005271	7.53511002571526
BA3108	7.72127626045477	6.79345158499426
BA2924	5.05963791860408	8.23061160269424
BA2303	6.44374763893835	6.74557828155057
BA2160	7.44951411714195	6.80603450730616
BA2038	5.85300580466056	8.30691336971867
BA2602	5.39458251066191	8.2874098816496
BA2964	5.51731496751527	7.59447758989453
BA2898	6.69192414230504	6.89778124838191
BA3003	6.82734034498185	6.76240903317338
BA2111	6.84596201012783	6.79100301901869
BA2827	6.72640507458581	7.09568366825665
BA2912	6.61592394796106	6.8867637487898
BA2437	6.94358580230343	7.05061628699762
BA2283	6.91137383646976	6.8576823032308
BA2057	6.58727608652663	6.94758145894243
BA2633	6.9848366218031	6.95085389521077
BA3034	6.71554173603585	6.806661857708
BA2607	6.64862107605335	6.98275640527684
BA2761	6.59999610931592	7.06885426902192
BA2795	6.79813530726845	6.91326402535282
BA2182	6.84162430439576	6.97731252665637
BA2152	6.79158437688518	6.801788717217
BA2381	7.83130382680857	7.41308925427417
BA2931	6.63008743018599	7.41889646736553
BA2040	5.39533160012503	7.74808252538179
BA2590	7.0168789681798	7.69790613813162
BA3195	6.18294422218273	7.49042755149826
BA2516	6.98890006339199	6.76777472760262
BA2353	7.11216085325929	7.47732145799094
BA3036	6.44227342376241	7.2977714926992
BA2971	4.61929846930604	7.85931538761176
BA3410	4.9477179907569	7.63278489020753
BA3118	5.09252726658566	8.47663077360064
BA3206	7.21621114040909	6.79404595569359
BA3202	6.21363363803942	8.1017443875296
BA3217	6.77775850085893	7.75510135803604
BA3405	6.90296785302656	6.87403385388121
BA3306	5.91637612602088	7.99413751864958
BA3371	4.72180716429242	7.63278489020753
BA3413	7.30313040589717	6.93090952480088
BA3411	6.86587981932563	6.71268468403438
BA3133	2.64661944832681	7.15158559200513
BA3164	7.05570452227078	7.36252362510307
BA3451	6.45552187143232	7.1030737643179
BA3286	7.05362684769664	6.5145040049866
BA3212	7.40900238551148	7.42721767032965
BA3103	4.76744564892536	8.24301678047805
BA3271	6.801788717217	7.28438406463884
BA3152	6.37124794281337	6.73983231150721
BA3095	7.00355473079372	6.8791208631907
BA3192	6.00392077224602	7.87732006412967
BA3251	6.0786199138595	7.69288267465993
BA3362	6.85025853686514	7.05570452227078
BA3400	5.36867301215282	8.34456564828853
BA3135	5.35229119892718	8.08518191159815
BA3408	5.26850269480577	7.03126251610198
BA3187	6.05993013058661	7.60161963856079
BA3098	7.18320770184298	7.1639233124779
BA3435	6.60792383481337	7.12189404339898
BA3261	7.01472936087095	6.99175546936536
BA3203	1.68790567529799	8.3603866090308
BA3174	4.44043021773744	8.00271116464237
BA3317	7.4372988989966	6.99516443206292
BA3299	5.12980289788787	8.44724078411408
BA3221	6.08707291217101	6.6263105848456
BA3347	5.76798676791736	8.31787605128572
BA3235	5.77294291662078	7.21134659078952
BA3126	5.90157614057374	7.34277993266588
BA3380	5.39458251066191	7.96744532914178
BA3089	7.14144688839692	7.06956103001791
BA3109	4.1393823864995	7.62806217739621
BA3114	5.61668949030342	7.26669441560471
BA3418	5.61064071002875	8.07245680901417
BA3245	4.44117628286088	8.43758065182973
BA3085	6.47523792980687	7.97230357086309
BA3128	5.38876952657644	7.99739906746641
BA3423	5.33468449100155	8.2960419873451
BA3173	5.77571318535643	8.09067732991193
BA3171	4.9459530906601	7.36252362510307
BA3277	4.94911331401403	8.51425498508966
BA3210	4.53233174096288	7.8894951557827
BA3157	7.39540604135448	7.38560317769133
BA3433	4.88780360986739	8.0301567645062
BA3322	6.56014980461976	6.71610247691018
BA3374	6.83464418679852	6.6892157543699
BA3450	4.21481719565255	8.18813169577028
BA3167	6.13077087437702	8.01965582601105
BA3269	4.06243283557816	8.10545619155905
BA3110	5.89878476046271	7.65148276489013
BA3156	7.72809482559201	8.05115312612603
BA3226	7.24647814947882	6.88993208075706
BA3421	5.49361387353109	7.19064975766148
BA3232	7.26851020715081	6.8194770973329
BA3289	5.33938509366527	7.37484847247432
BA3430	5.35117907046834	7.79093203959201
BA3145	5.06527754778608	7.12189404339898
BA3399	4.65440830398242	6.79640967556144
BA3449	7.00642277827321	7.40707286933197
BA3384	7.13756401534747	7.10925539195399
BA3427	5.79678897670541	6.79813530726845
BA3163	6.00881830211778	7.06302085430374
BA3158	7.19312453230448	7.21542521128511
BA3436	7.51191595859432	6.60634523087502
BA3154	4.17448805896105	8.16576290814706
BA3162	5.2256777958467	7.50539293842063
BA3352	6.67002543512013	6.95550948162844
BA3084	7.29872623007905	7.14921380328589
BA3149	4.70453081211341	8.03884116383771
BA3169	4.86428104676734	7.53405377993628
BA3180	5.2381836725971	7.65513327960109
BA3255	6.94490055523594	6.85895592875875
BA3438	6.61867340597626	6.89511146582289
BA3345	5.13908038133443	7.2023131865225
BA3403	6.65017189848331	6.63758201438047
BA3431	4.44371751516999	7.31937809888862
BA3181	5.94996299067632	6.78865136154736
BA3341	3.94932461697197	7.65148276489013
BA3191	6.51708902749809	7.00423488076259
BA3197	7.19482368325309	7.20073563164426
BA3448	7.38257507273258	6.90161368403515
BA3453	5.0932101529727	8.07426638068647
BA3406	6.32868471625961	7.12505562496802
BA3308	7.05796014084047	7.09710413510838
BA3186	5.88287108041716	7.19225834495813
BA3334	5.40076226918126	6.93152855508892
BA3447	6.28190411591636	6.50649211862862
BA3116	5.21851473599856	8.09619809378225
BA3280	4.92485987316059	8.53990253916599
BA3185	4.91193698649749	8.09804401257278
BA3094	6.04192947928388	7.86231924501854
BA3318	4.35537320620163	7.99739906746641
BA3216	5.7725785925433	8.1017443875296
BA3332	5.99034044706391	7.99573716734119
BA3214	5.28038295813947	7.75510135803604
BA3099	7.19643196455649	7.11440294806697
BA3141	7.22786001580346	6.52836297577895
BA3373	7.41600983782201	7.22127084858972
BA3319	6.20186257831003	6.9785897904033
BA3328	6.40737616847402	7.12189404339898
BA3339	6.33324319286844	6.44032365945441
BA3240	6.90492530830845	6.9401836518602
BA3142	6.02819468374248	7.36623727973933
BA3333	5.96907627794874	7.59447758989453
BA3381	6.57305438035027	6.63758201438047
BA3290	5.78541513449237	6.83464418679852
BA3207	6.05196623929884	6.76418682921246
BA3296	5.45893049861312	6.59203093136997
BA3305	5.95806732051197	7.38560317769133
BA3434	6.56532526138634	7.08598210070988
BA3189	6.56478809528508	6.76359470107912
BA3264	6.59041781660964	7.37299295258264
BA3329	6.36982886713941	7.4262875873266
BA3417	6.3282334089858	7.09047728148948
BA3367	4.47211486954081	7.6954634086272
BA3225	5.73858169391831	6.69136843496562
BA3183	6.3548930381601	7.20544727648903
BA3222	7.11288822976142	6.44517490297706
BA3139	6.54456958822718	7.27110711454488
BA3397	5.68229960670136	7.28899814708616
BA3311	5.59212312780833	6.8175184307766
BA3422	5.38079659978033	8.19211577067672
BA3228	6.92898560318184	7.42825345365406
BA3213	6.1346163312472	7.74808252538179
BA3270	6.16092602046833	6.73050676463962
BA3415	3.13934917227227	6.74501989741739
BA3324	6.24100946664766	7.00079089475897
BA3194	7.32401244462143	6.77131514818168
BA3335	4.798374704262	8.00107447892983
BA3199	7.13671405241938	6.83403264485773
BA3326	6.30650779394135	7.80094268898657
BA3285	6.59468087653905	7.19064975766148
BA3297	7.07405167828484	7.03918975972709
BA3227	7.52657913903788	7.12738803665014
BA3394	6.49051077750921	6.86346274491745
BA3412	6.63170598568284	7.29872623007905
BA3293	7.60044547310861	6.79158437688518
BA3250	6.74097656792209	7.17197273809379
BA3177	6.8446685918264	7.08821062221174
BA3315	6.00051445317703	7.5552619353094
BA3182	6.75194526906574	7.17836164217363
BA3260	4.89661464748925	7.19064975766148
BA3369	6.76002445528346	7.1639233124779
BA3078	7.12266775163133	6.77661655379887
BA3386	7.1702959591528	6.72117913083453
BA3445	5.31432060422587	7.05362684769664
BA3452	4.62499001767521	6.64862107605335
BA3176	7.12422017929786	6.52988298875597
BA3258	6.29048213777498	6.9924430115513
