	NRAS	TP53
BA2392	6.99377561399407	7.93187727167438
BA2611	7.10771088589405	8.01965582601105
BA2506	7.09047728148948	7.96260346447077
BA2430	7.04058248557274	7.94635895319707
BA2448	7.03404295294828	7.97556074370465
BA2730	7.08368088883067	7.95936662330483
BA2845	7.05721925341645	7.87430709609213
BA2326	7.06736498172321	7.85345354435312
BA2341	7.06956103001791	7.87732006412967
BA2612	7.05213628356552	7.87430709609213
BA2973	7.05132427456444	7.83554388846121
BA2390	7.07251029744415	7.85633367820174
BA3218	7.02698040559294	7.84275930534523
BA3105	6.9582357295531	7.86087718753597
BA3402	7.00218029229942	7.88037740793897
BA3276	6.97383568837724	7.90654028957083
BA2409	6.66888521161026	6.7240814115045
BA3037	7.81101053195418	4.29267969728308
BA2496	6.87847286019697	6.45599883472476
BA2172	7.48490734822992	6.55763968463611
BA2865	7.04635072837336	7.34082017175962
BA2923	6.98553956904008	6.41993290039897
BA2751	6.77246010495607	7.22625304922136
BA2480	7.18731663184627	7.08598210070988
BA2286	7.33073792117204	7.03335772337666
BA2922	7.03335772337666	7.58415033094325
BA2452	7.31937809888862	6.21802371577529
BA3379	7.00010998499046	7.1045805500083
BA2887	7.41889646736553	6.98275640527684
BA2712	7.50539293842063	5.93038956442244
BA2068	7.4914611939268	5.89521114196018
BA2236	6.97926113627939	7.24904224136933
BA2104	7.44951411714195	6.26429986711095
BA3124	6.57560815980456	6.49248354368901
BA3395	6.90753952267277	6.09600230844392
BA2921	7.78959302181462	5.26066257347525
BA2449	8.06147774301482	5.89918966262517
BA2003	8.17625565039323	5.09857876696561
BA2360	6.81512757535845	8.04765964150367
BA2802	7.45670028367566	5.98097884801574
BA2235	7.04635072837336	7.04704814373678
BA2858	7.49256176412129	6.16992972400798
BA3038	6.89245255653176	6.43046914091516
BA3006	6.73983231150721	7.35202275514424
BA2245	7.15078589361001	7.53093612416627
BA2667	6.65958088429919	7.16215175411855
BA2239	6.67392482770239	6.92833111291049
BA2782	6.70809549173072	6.1881494364125
BA2649	7.27898774790875	7.30861526987379
BA2488	7.24053779186389	6.28733698625511
BA2861	7.12189404339898	7.2179085684236
BA2909	6.82793872143045	6.00760401810435
