	NRAS	TP53
BA2429	6.64631169310032	6.58673582096521
BA2653	7.60044547310861	6.64966424428309
BA2134	6.79404595569359	6.389795387917
BA2947	7.43138197639579	7.0549889553605
BA2032	8.01121552663761	5.6834289695156
BA2162	6.40264148496757	5.66661596956027
BA2564	7.18398636132438	6.33600766569699
BA2597	8.12977902219921	5.30025672574144
BA3243	6.99925381802676	6.79931174111644
BA2106	7.98067391429632	5.5849409277756
BA2427	8.61151153389318	4.58834815635997
BA2841	8.04242466385173	5.64578665380384
BA2446	6.91265400996675	7.02624764830014
BA2645	8.25974759702626	4.47755440955033
BA2525	7.20386734649371	5.33325727668396
BA2876	7.7729524118183	4.87307091837154
BA2357	7.07994856692804	5.73934974436077
BA2546	6.98137959105818	5.98097884801574
BA2742	6.89778124838191	6.87718695252014
BA2316	6.82066158800154	6.92303478434711
BA2421	7.56896114376543	5.73053658482108
BA2087	8.16435812995303	6.1821095995856
BA2910	8.00619097456886	6.65242333740906
BA2148	8.08701091285537	4.5255236296775
BA2063	6.94160900810377	5.23357427325263
BA2329	6.77246010495607	6.76359470107912
BA3178	6.92369940347749	7.16876088952225
BA2072	6.9848366218031	6.8175184307766
BA3029	8.27031665707811	4.51543236159046
BA2733	8.23886821722062	5.01531695363561
BA2995	8.4594113881339	5.64653817010519
BA2069	6.79463806745523	7.49042755149826
BA2100	7.24218373520164	4.13049769125671
BA2681	6.89511146582289	6.47571845442986
BA2248	7.90490568648577	5.35925920402751
BA2832	7.26851020715081	6.54255345963774
BA2308	7.46894970580743	6.1346163312472
BA2413	7.73462168625585	5.4113491881704
BA2701	7.62683244469809	4.6377523259586
BA2634	7.03474280183588	5.89802625126527
BA2677	7.03474280183588	6.55027156269161
BA2937	6.97250726431014	6.88364306076419
BA2600	7.65632337592004	5.11328125236518
BA2019	7.20635659773546	6.63058753997147
BA2412	6.1201103531002	6.07479305709891
BA2334	7.69160326863138	5.69683059962592
BA2050	7.43138197639579	6.89902500194997
BA3230	6.59203093136997	6.6396645832219
BA2953	7.75921826167611	5.27249782330272
BA2481	6.72582978047913	6.14278190987981
BA2731	7.67233847579442	5.43769371500229
BA2294	7.42415546195164	7.27378385953679
BA2418	7.62320575204897	6.13331916927191
BA2816	7.47416545591404	6.35951832125277
BA2656	7.77444024847	6.23081198982986
BA2814	7.04851156959908	6.732801148639
BA2631	7.07695814218809	7.21053357648558
BA2023	6.9785897904033	6.6639864599992
BA2375	7.02911174492955	7.07994856692804
BA2485	6.72991592484699	7.51413414557592
BA2455	7.79384765019346	6.16950493399515
BA2025	7.07556396699123	7.06736498172321
BA2636	7.45866975783138	5.63282770326011
BA2325	7.62080780455831	6.0844698592588
BA2169	8.11666073243668	5.15597615770657
BA2156	7.00924527251429	7.78123623973778
BA2511	7.47316503302079	5.1329891862807
BA2939	7.90342171341614	5.4256501409614
BA2168	7.79384765019346	6.17556084584677
BA2505	7.65276972214058	6.06427837502978
BA2860	7.13044392794916	6.30187774864901
BA2707	7.96905854853838	5.67887021391384
BA2871	7.73994866868774	3.82296440324922
BA2655	7.67751428719864	6.81265459274061
BA2227	7.86810697410873	6.51302546929391
BA2125	6.96289154217268	6.90814621424913
BA2523	7.19738153999511	6.94819581980106
BA2603	6.6430484484285	6.97110220501606
BA2808	7.95104961478815	0.227105256821812
BA2282	6.50904089235684	5.86057748465192
BA2482	7.10851364264035	6.56583781452914
BA2812	6.51657057172327	6.40314188601748
BA2822	7.24301197621157	6.13119942059496
BA2594	7.33618294917006	6.53249965977741
BA2747	7.1445927897216	6.91069984449294
BA2561	6.37831338727117	6.72062167573975
BA2567	6.73108967735957	4.61468245344628
BA2906	7.24647814947882	7.19145743010941
BA2956	8.51425498508966	4.65298561876012
BA2474	7.02841397070837	6.87788091401863
BA2737	8.27456876079558	5.1731127627033
BA2110	7.01407346260423	5.89165055148412
BA2992	7.88642489400613	6.00599295147661
BA2220	7.28899814708616	7.23974353995359
BA2772	7.73994866868774	5.69028030333394
BA2935	7.5932544466496	5.80651617633479
BA2260	7.31397253852267	6.26972531039322
BA2676	6.45897655908302	6.32546109149907
BA2948	7.66613976188412	4.29566916323682
BA2524	8.52958832512444	5.1674510313935
BA2811	7.64636707538027	6.82008128976274
BA2540	7.72941398094	5.60231976530737
BA2928	6.80787905159787	7.62437772428186
BA2302	8.0760787079227	4.46338478207428
BA2595	7.69666948274062	5.64956635618765
BA2792	6.87084783224833	6.54042498941119
BA2651	7.94145634611773	5.03323587286023
BA2619	7.51413414557592	6.36467185423724
BA3013	7.14840411383597	7.35390839708449
BA2405	7.62437772428186	5.17133494272832
BA2735	6.57720688521491	4.91685437213902
BA2856	6.73222274372854	4.89451135230491
BA2377	8.40379071339591	6.1522898333018
BA2499	7.53734841909383	5.5722787954592
BA2463	7.67892900147032	5.50353774574014
BA3023	8.14513423086413	5.59326337181961
BA2095	7.42415546195164	7.28899814708616
BA2901	7.51084212363206	5.90353378741165
BA2275	6.82008128976274	5.9092894586333
BA2387	7.15951987646114	7.46363654414575
BA2962	7.45571345371651	7.25790347094091
BA2195	7.91426996698012	5.63436770223251
BA2688	7.53197491812839	5.56596083132182
BA2787	6.33418865159932	5.08010536468567
BA2420	6.6892157543699	7.47416545591404
BA2756	7.99068122497693	5.34186047637261
BA2122	6.96289154217268	4.6788765540465
BA2053	7.99573716734119	5.62530338833762
BA2080	7.97230357086309	5.36939086109841
BA2081	7.36910502551481	7.12814379144502
BA2354	7.02978091514104	6.91137383646976
BA3273	7.62806217739621	2.90245258168608
BA2893	6.89318073804479	7.04851156959908
BA2044	6.93558317816731	7.41702873174962
BA2489	7.98067391429632	5.07550246590364
BA2309	6.94490055523594	7.10380554442151
BA2720	7.46997411625783	5.55739491408236
BA2908	7.09047728148948	7.22867709025789
BA2054	6.40264148496757	5.68192875741287
BA2872	6.68070832768596	5.57710363902521
BA2526	8.33784249776874	5.85300580466056
BA2041	8.11666073243668	5.97482137009541
BA2464	7.20465709297985	6.87466227370096
BA2902	8.16644533071452	5.4000323249
BA2541	7.38062061343463	7.19482368325309
BA2143	8.0179995830141	6.22378350328208
BA2094	7.02554920178684	6.63707820351379
BA2769	7.6160759273921	5.11782405199582
BA2843	8.30909856685695	4.89378286978426
BA2592	7.69288267465993	6.14235074085009
BA2497	6.76359470107912	6.42575430557831
BA2718	7.03549223810054	7.56567805381962
BA2575	6.88614746987226	6.39073862378253
BA2096	7.41990509181254	6.5435898741168
BA2593	6.50152491798344	6.6263105848456
BA2791	7.91111348596979	5.76878858309535
BA2620	7.11817234858432	6.67392482770239
BA2629	7.06956103001791	7.49256176412129
BA2870	6.8958209414819	7.74666982029682
BA2423	7.76614073791854	5.05998896160971
BA2682	7.53974354156668	6.06213168198286
BA2276	7.27555120012057	6.23256384367835
BA2348	7.62437772428186	4.57477973250303
BA2709	7.76614073791854	6.1833788007571
BA2789	6.98275640527684	7.34082017175962
BA2694	7.69023500088856	5.24967382044831
BA2538	8.83992016748168	5.06527754778608
BA2583	7.67625068419832	6.37732984108365
BA2415	6.43590316276273	6.30695343234241
BA2722	7.16795764916514	5.21996006204262
BA2806	7.86375133258917	6.08621852980205
BA2221	7.1743962727285	5.73973435709854
BA3025	7.22705513643141	7.49042755149826
BA2514	8.12411003652868	5.00447988229452
BA2520	8.37409825216549	5.86536301251181
BA2441	7.66613976188412	7.44839655086442
BA2153	7.59565623174131	6.10234706288177
BA2479	7.35390839708449	5.29451713018208
BA2281	7.41702873174962	6.87788091401863
BA2657	6.85580435382138	6.68181953854303
BA2932	6.88034277223335	7.70582137825133
BA2123	7.99915514777274	6.39599982532293
BA2844	7.7071077714624	6.35627429889414
BA2660	6.98553956904008	6.84098754890722
BA2836	8.23473317956582	4.58619939617121
BA3027	7.64255001400601	4.57370858506955
BA2714	6.99377561399407	6.82188197814107
BA2139	7.00288610035202	6.24185782368877
BA2251	7.18812871773308	7.82261702082019
BA2952	6.85335943019892	7.1445927897216
BA2440	7.70064711748054	2.38194954250065
BA2036	6.801788717217	6.85895592875875
BA2828	7.44741351807287	5.93777047922961
BA2292	7.4576754868774	7.05721925341645
BA2410	8.11104544817006	4.87481382301932
BA2051	8.51934782702254	3.74222249554182
BA2532	7.47416545591404	4.89906895806818
BA2986	7.07770710445007	6.92111028015582
BA2494	7.99915514777274	4.8850340180221
BA2515	7.71215406681609	5.15886081295599
BA2748	7.04988485075939	7.40707286933197
BA2970	7.69023500088856	5.24755295562951
BA2622	7.1743962727285	6.51970766408759
BA2839	7.99739906746641	4.57050598081279
BA2052	7.68013043810275	6.02245886806957
BA3011	7.52879493976561	5.49620333322403
BA2868	7.1445927897216	6.99309781087009
BA2510	8.05801802157941	6.43793151264448
BA2065	7.03474280183588	6.97592290315855
BA2691	7.05647487229206	6.06843510757967
BA2374	6.93420850135559	7.00642277827321
BA2804	7.20800173217813	6.34503333401511
BA2670	7.18812871773308	5.49867482524586
BA2675	7.22951525991334	7.10235206017353
BA2589	8.15090969693391	5.1329891862807
BA2031	6.75597489483719	7.10925539195399
BA2198	7.13044392794916	7.25440312060941
BA2066	7.18078818168097	7.26938021173089
BA2344	6.65069612456278	7.46260985261637
BA2459	7.61833712147791	5.71368801694621
BA2229	7.72941398094	5.40590227988363
BA2559	7.58415033094325	5.6290939324601
BA2093	6.84039491318719	5.51092026987085
BA2000	6.5550219238791	7.17116786854616
BA2425	7.14764743423536	5.8584977958134
BA2905	7.75227162313381	5.49361387353109
BA2304	6.91918219556931	6.02328497818552
BA2976	6.74898905678908	6.4673102312229
BA2386	7.41008797800013	5.5268548517384
BA2035	7.550843282623	7.1288906231397
BA2760	7.68399828509427	5.41465485346035
BA2201	6.84277692729058	7.07251029744415
BA2355	8.16059641320183	4.41532323585857
BA2113	7.06807720975175	6.94881589861991
BA2155	7.29872623007905	6.81026452482456
BA2955	6.87337102503918	6.52630500155159
BA2502	7.08227901596389	6.66232694076894
BA2322	7.80956394588893	6.32590234144832
BA2376	6.88034277223335	6.6601420957489
BA2020	7.10851364264035	7.56206988956539
BA2226	7.30676049708217	6.7421473941764
BA2200	6.95751613947387	7.31484141146978
BA2121	7.47524977931761	6.93827202821145
BA2944	7.44644074627456	7.40609048790591
BA2033	8.7332018546727	4.4255355439253
BA2867	7.91426996698012	5.44461485443026
BA2089	7.15951987646114	6.37831338727117
BA2224	7.18556384102574	5.98876336939614
BA2046	8.04242466385173	5.08690717420201
BA2972	7.70840071464408	6.65295694076347
BA2978	6.92898560318184	6.1725191860544
BA2829	7.28800386009291	6.66836924971821
BA2851	7.26066025557169	6.6656439229699
BA2587	7.04635072837336	6.82430487390793
BA2461	6.94225752405198	5.94954564902513
BA2695	8.26157753766667	5.06034106840668
BA2623	7.41600983782201	7.2808607611199
BA2024	6.76359470107912	6.16739291737488
BA2426	8.46676516104844	5.90761820174496
BA2271	7.53303259081949	6.57195133441217
BA3004	7.20712924024302	7.27718305881569
BA2579	6.95344802847081	6.39599982532293
BA3010	7.21300808308282	6.40785243829132
BA2662	6.61275930528802	7.00423488076259
BA2674	7.21542521128511	6.61328782678973
BA2280	7.56567805381962	7.50002964161751
BA2512	6.88742207164032	6.36648969189247
BA2658	7.51191595859432	6.51657057172327
BA2394	7.03549223810054	6.12947427780454
BA2950	7.78253531759111	6.24055068924258
BA2981	8.25135474465914	3.91918119992111
BA2934	6.95344802847081	4.63280713637761
BA2539	6.43882504176683	6.03692689677874
BA2249	7.39635430321553	6.88614746987226
BA2034	7.57949702449786	7.18078818168097
BA2109	7.4382687261571	4.73402493935974
BA2242	6.98688341334907	6.34412105865143
BA2277	7.03918975972709	7.13198010911185
BA2727	7.05292631391108	7.19738153999511
BA2132	7.54856623986657	5.44826154156483
BA2618	6.68477667416407	6.62357481456438
BA2521	6.84657434431718	7.02624764830014
BA2846	7.4333053034535	6.09387139945137
BA2885	7.27205163282357	6.59569193185131
BA2639	7.25358458154246	7.29348678773891
BA2775	6.56583781452914	6.54456958822718
BA2402	7.43138197639579	5.83678289113702
BA2097	7.78401208165605	5.89165055148412
BA2786	7.56321071069528	6.6268478891503
BA2399	7.69160326863138	6.8791208631907
BA2850	7.78123623973778	5.81839607751016
BA2174	6.79463806745523	6.49504433110095
BA2004	6.61536224183286	6.59256890621003
BA3001	6.89839628157059	7.67233847579442
BA2311	7.06302085430374	5.98546472831244
BA2483	7.13198010911185	6.85025853686514
BA3040	7.22042069105103	7.4372988989966
BA2837	7.52657913903788	6.23620830247888
BA2724	8.07789379739417	4.95436820669726
BA2911	7.22294227292879	6.6639864599992
BA2256	7.83704881770087	6.45750445904916
BA2821	7.11072300969941	7.09853964665219
BA2233	7.89717932578411	5.47397012091034
BA2744	6.73922514739457	7.52657913903788
BA2880	7.2456266527422	5.89840678151491
BA2621	7.04344633578654	5.39605181278963
BA3002	7.35390839708449	6.79581543973709
BA2501	7.16132716982423	6.48066088985819
BA2993	7.59101188148724	5.57935496877716
BA2301	7.92045916247849	5.09007782361131
BA2852	7.53093612416627	4.49309800823268
BA2133	7.26938021173089	4.62677440639043
BA2866	7.13513562600345	6.72932018001604
BA2212	7.88494695067266	5.34471469248409
BA2685	8.03722226484621	6.06637986410425
BA2273	7.88642489400613	5.75263805334011
BA2477	6.69750566900229	7.25358458154246
BA2659	6.87971926016812	6.22243678568209
BA2124	6.72640507458581	7.5725144548201
BA2363	6.67668520784891	6.26429986711095
BA2369	7.99915514777274	5.0883096858926
BA2534	7.07180826529373	7.20308831152753
BA2400	7.04851156959908	6.90940702790402
BA2762	7.94936162159169	5.58914523241343
BA2312	6.95615389337193	5.95116187542659
BA2813	7.78401208165605	6.42812418967041
BA2211	7.00853195755675	7.49457772487061
BA2171	7.10380554442151	7.00146186913291
BA2746	7.54404101452516	5.85501990072082
BA2798	8.52702131941912	5.2557008751781
BA2809	7.29162764738793	6.47426873472503
BA2288	7.38062061343463	4.81163956900901
BA2801	6.96091622827791	4.20521607487653
BA3030	6.57195133441217	6.59519386649706
BA2588	6.90877033903166	6.60688950527526
BA2296	7.10380554442151	7.145353174227
BA2300	7.08368088883067	4.23895301881926
BA2903	7.16876088952225	3.22599710926517
BA2473	8.12599675573878	5.44754405856203
BA2545	6.71895435387141	6.56532526138634
BA2840	7.05796014084047	5.99152342299614
BA2528	6.67112647924208	6.84277692729058
BA2646	7.34929269675225	6.61380571566026
BA3407	8.16059641320183	5.19161041350932
BA2240	7.40804987020109	6.54504027868998
BA2926	6.43590316276273	7.05061628699762
BA2272	6.7421473941764	6.71095851013656
BA2306	7.47416545591404	6.69465878054587
BA2765	6.63915578339387	5.58306894890271
BA2904	7.08440089746741	6.44227342376241
BA2883	7.84423149870525	4.43894159347348
BA2726	7.1288906231397	6.04401665671066
BA2234	6.93623650693789	6.57305438035027
BA2022	7.33890799019329	7.02978091514104
BA2228	7.86375133258917	5.6834289695156
BA2037	6.88492067829042	7.61833712147791
BA2184	7.16215175411855	7.34177007998791
BA3009	7.14612289543671	6.28051995140614
BA2842	7.34277993266588	4.35426803475998
BA2442	6.80116720365205	6.36982886713941
BA2882	7.1030737643179	6.00134650129498
BA2758	7.06736498172321	6.03193635166747
BA2705	8.34007975821985	5.01042178805716
BA2663	7.19985683529985	4.59723676314568
BA2570	7.17913715940168	5.92793175730426
BA2764	6.45300101587846	6.17423728477739
BA2209	7.947879626465	4.57620385088589
BA2989	7.96422079504262	5.61586637721502
BA2855	7.617186143553	4.90535576746464
BA2261	6.81811142246577	3.09816416471119
BA2721	6.75309739437635	6.90623565218771
BA2930	6.93558317816731	6.38550593619779
BA2728	6.78865136154736	6.76656262392125
BA2715	8.18217944661747	4.54449196266661
BA2469	6.21539686316165	3.65217826413879
BA2269	7.07329793491951	4.41901213347142
BA2098	7.06596636229514	6.83151108322253
BA2778	7.04704814373678	6.40454724548096
BA2951	6.45750445904916	6.99377561399407
BA2163	7.35957852119331	7.5552619353094
BA2379	7.89108706846145	4.70101175635619
BA2817	7.88642489400613	4.56799936889978
BA3153	8.59529250724368	4.74113609559812
BA2820	7.02624764830014	7.01338554790523
BA2723	7.88793681406652	3.80561258862819
BA2704	7.14840411383597	7.36910502551481
BA2088	8.12418859250955	5.58306894890271
BA2116	8.0044307958278	3.65588909933936
BA2584	7.39734461578024	6.88364306076419
BA3079	7.08521741719084	4.25793262725042
BA2417	7.56567805381962	6.22157033382946
BA2361	7.60044547310861	4.25981249131916
BA2450	7.3445927403943	7.39734461578024
BA2492	7.90490568648577	4.23241801519581
BA2552	7.61362919863888	6.01215704616716
BA2472	7.49565796423242	5.49138177082753
BA2994	8.05801802157941	6.53744053114805
BA2047	7.28712238553665	6.60634523087502
BA2101	7.45963779857083	5.99436956978052
BA2082	8.08153228980509	5.05791386338245
BA2879	7.83985748399556	4.0915518275327
BA2577	6.78802478417111	7.47732145799094
BA2456	8.30909856685695	5.43733644220612
BA2175	7.76614073791854	4.04029489753007
BA2824	7.22867709025789	7.99573716734119
BA2507	7.83840005803793	6.68646890696546
BA2563	7.13917152831013	7.42825345365406
BA2244	6.98553956904008	7.01060112681321
BA2470	7.51413414557592	6.40785243829132
BA2984	7.48382605156173	6.40360502181603
BA2414	7.15798365655759	7.55189787670547
BA2697	6.54766219361137	5.66167475958567
BA2079	6.79581543973709	5.34829013725005
BA2999	7.42090370210596	6.7478553015081
BA2644	6.64915964619014	6.82612058067876
BA2011	7.45571345371651	4.74322903691124
BA2217	7.23974353995359	7.74666982029682
BA2454	7.38062061343463	7.37198491161906
BA2776	7.25696535562506	8.25344779136567
BA2218	8.18813169577028	5.08617132532278
BA2135	8.37180321609369	6.02937141783307
BA2914	6.78074983432615	6.70250395591763
BA2500	7.41990509181254	6.00261866586335
BA2830	8.20616122712402	6.08237851607355
BA2406	7.53511002571526	3.88038335005271
BA3108	6.79345158499426	7.72127626045477
BA2924	8.23061160269424	5.05963791860408
BA2303	6.74557828155057	6.44374763893835
BA2160	6.80603450730616	7.44951411714195
BA2038	8.30691336971867	5.85300580466056
BA2602	8.2874098816496	5.39458251066191
BA2964	7.59447758989453	5.51731496751527
BA2898	6.89778124838191	6.69192414230504
BA3003	6.76240903317338	6.82734034498185
BA2111	6.79100301901869	6.84596201012783
BA2827	7.09568366825665	6.72640507458581
BA2912	6.8867637487898	6.61592394796106
BA2437	7.05061628699762	6.94358580230343
BA2283	6.8576823032308	6.91137383646976
BA2057	6.94758145894243	6.58727608652663
BA2633	6.95085389521077	6.9848366218031
BA3034	6.806661857708	6.71554173603585
BA2607	6.98275640527684	6.64862107605335
BA2761	7.06885426902192	6.59999610931592
BA2795	6.91326402535282	6.79813530726845
BA2182	6.97731252665637	6.84162430439576
BA2152	6.801788717217	6.79158437688518
BA2381	7.41308925427417	7.83130382680857
BA2931	7.41889646736553	6.63008743018599
BA2040	7.74808252538179	5.39533160012503
BA2590	7.69790613813162	7.0168789681798
BA3195	7.49042755149826	6.18294422218273
BA2516	6.76777472760262	6.98890006339199
BA2353	7.47732145799094	7.11216085325929
BA3036	7.2977714926992	6.44227342376241
BA2971	7.85931538761176	4.61929846930604
BA3410	7.63278489020753	4.9477179907569
BA3118	8.47663077360064	5.09252726658566
BA3206	6.79404595569359	7.21621114040909
BA3202	8.1017443875296	6.21363363803942
BA3217	7.75510135803604	6.77775850085893
BA3405	6.87403385388121	6.90296785302656
BA3306	7.99413751864958	5.91637612602088
BA3371	7.63278489020753	4.72180716429242
BA3413	6.93090952480088	7.30313040589717
BA3411	6.71268468403438	6.86587981932563
BA3133	7.15158559200513	2.64661944832681
BA3164	7.36252362510307	7.05570452227078
BA3451	7.1030737643179	6.45552187143232
BA3286	6.5145040049866	7.05362684769664
BA3212	7.42721767032965	7.40900238551148
BA3103	8.24301678047805	4.76744564892536
BA3271	7.28438406463884	6.801788717217
BA3152	6.73983231150721	6.37124794281337
BA3095	6.8791208631907	7.00355473079372
BA3192	7.87732006412967	6.00392077224602
BA3251	7.69288267465993	6.0786199138595
BA3362	7.05570452227078	6.85025853686514
BA3400	8.34456564828853	5.36867301215282
BA3135	8.08518191159815	5.35229119892718
BA3408	7.03126251610198	5.26850269480577
BA3187	7.60161963856079	6.05993013058661
BA3098	7.1639233124779	7.18320770184298
BA3435	7.12189404339898	6.60792383481337
BA3261	6.99175546936536	7.01472936087095
BA3203	8.3603866090308	1.68790567529799
BA3174	8.00271116464237	4.44043021773744
BA3317	6.99516443206292	7.4372988989966
BA3299	8.44724078411408	5.12980289788787
BA3221	6.6263105848456	6.08707291217101
BA3347	8.31787605128572	5.76798676791736
BA3235	7.21134659078952	5.77294291662078
BA3126	7.34277993266588	5.90157614057374
BA3380	7.96744532914178	5.39458251066191
BA3089	7.06956103001791	7.14144688839692
BA3109	7.62806217739621	4.1393823864995
BA3114	7.26669441560471	5.61668949030342
BA3418	8.07245680901417	5.61064071002875
BA3245	8.43758065182973	4.44117628286088
BA3085	7.97230357086309	6.47523792980687
BA3128	7.99739906746641	5.38876952657644
BA3423	8.2960419873451	5.33468449100155
BA3173	8.09067732991193	5.77571318535643
BA3171	7.36252362510307	4.9459530906601
BA3277	8.51425498508966	4.94911331401403
BA3210	7.8894951557827	4.53233174096288
BA3157	7.38560317769133	7.39540604135448
BA3433	8.0301567645062	4.88780360986739
BA3322	6.71610247691018	6.56014980461976
BA3374	6.6892157543699	6.83464418679852
BA3450	8.18813169577028	4.21481719565255
BA3167	8.01965582601105	6.13077087437702
BA3269	8.10545619155905	4.06243283557816
BA3110	7.65148276489013	5.89878476046271
BA3156	8.05115312612603	7.72809482559201
BA3226	6.88993208075706	7.24647814947882
BA3421	7.19064975766148	5.49361387353109
BA3232	6.8194770973329	7.26851020715081
BA3289	7.37484847247432	5.33938509366527
BA3430	7.79093203959201	5.35117907046834
BA3145	7.12189404339898	5.06527754778608
BA3399	6.79640967556144	4.65440830398242
BA3449	7.40707286933197	7.00642277827321
BA3384	7.10925539195399	7.13756401534747
BA3427	6.79813530726845	5.79678897670541
BA3163	7.06302085430374	6.00881830211778
BA3158	7.21542521128511	7.19312453230448
BA3436	6.60634523087502	7.51191595859432
BA3154	8.16576290814706	4.17448805896105
BA3162	7.50539293842063	5.2256777958467
BA3352	6.95550948162844	6.67002543512013
BA3084	7.14921380328589	7.29872623007905
BA3149	8.03884116383771	4.70453081211341
BA3169	7.53405377993628	4.86428104676734
BA3180	7.65513327960109	5.2381836725971
BA3255	6.85895592875875	6.94490055523594
BA3438	6.89511146582289	6.61867340597626
BA3345	7.2023131865225	5.13908038133443
BA3403	6.63758201438047	6.65017189848331
BA3431	7.31937809888862	4.44371751516999
BA3181	6.78865136154736	5.94996299067632
BA3341	7.65148276489013	3.94932461697197
BA3191	7.00423488076259	6.51708902749809
BA3197	7.20073563164426	7.19482368325309
BA3448	6.90161368403515	7.38257507273258
BA3453	8.07426638068647	5.0932101529727
BA3406	7.12505562496802	6.32868471625961
BA3308	7.09710413510838	7.05796014084047
BA3186	7.19225834495813	5.88287108041716
BA3334	6.93152855508892	5.40076226918126
BA3447	6.50649211862862	6.28190411591636
BA3116	8.09619809378225	5.21851473599856
BA3280	8.53990253916599	4.92485987316059
BA3185	8.09804401257278	4.91193698649749
BA3094	7.86231924501854	6.04192947928388
BA3318	7.99739906746641	4.35537320620163
BA3216	8.1017443875296	5.7725785925433
BA3332	7.99573716734119	5.99034044706391
BA3214	7.75510135803604	5.28038295813947
BA3099	7.11440294806697	7.19643196455649
BA3141	6.52836297577895	7.22786001580346
BA3373	7.22127084858972	7.41600983782201
BA3319	6.9785897904033	6.20186257831003
BA3328	7.12189404339898	6.40737616847402
BA3339	6.44032365945441	6.33324319286844
BA3240	6.9401836518602	6.90492530830845
BA3142	7.36623727973933	6.02819468374248
BA3333	7.59447758989453	5.96907627794874
BA3381	6.63758201438047	6.57305438035027
BA3290	6.83464418679852	5.78541513449237
BA3207	6.76418682921246	6.05196623929884
BA3296	6.59203093136997	5.45893049861312
BA3305	7.38560317769133	5.95806732051197
BA3434	7.08598210070988	6.56532526138634
BA3189	6.76359470107912	6.56478809528508
BA3264	7.37299295258264	6.59041781660964
BA3329	7.4262875873266	6.36982886713941
BA3417	7.09047728148948	6.3282334089858
BA3367	7.6954634086272	4.47211486954081
BA3225	6.69136843496562	5.73858169391831
BA3183	7.20544727648903	6.3548930381601
BA3222	6.44517490297706	7.11288822976142
BA3139	7.27110711454488	6.54456958822718
BA3397	7.28899814708616	5.68229960670136
BA3311	6.8175184307766	5.59212312780833
BA3422	8.19211577067672	5.38079659978033
BA3228	7.42825345365406	6.92898560318184
BA3213	7.74808252538179	6.1346163312472
BA3270	6.73050676463962	6.16092602046833
BA3415	6.74501989741739	3.13934917227227
BA3324	7.00079089475897	6.24100946664766
BA3194	6.77131514818168	7.32401244462143
BA3335	8.00107447892983	4.798374704262
BA3199	6.83403264485773	7.13671405241938
BA3326	7.80094268898657	6.30650779394135
BA3285	7.19064975766148	6.59468087653905
BA3297	7.03918975972709	7.07405167828484
BA3227	7.12738803665014	7.52657913903788
BA3394	6.86346274491745	6.49051077750921
BA3412	7.29872623007905	6.63170598568284
BA3293	6.79158437688518	7.60044547310861
BA3250	7.17197273809379	6.74097656792209
BA3177	7.08821062221174	6.8446685918264
BA3315	7.5552619353094	6.00051445317703
BA3182	7.17836164217363	6.75194526906574
BA3260	7.19064975766148	4.89661464748925
BA3369	7.1639233124779	6.76002445528346
BA3078	6.77661655379887	7.12266775163133
BA3386	6.72117913083453	7.1702959591528
BA3445	7.05362684769664	5.31432060422587
BA3452	6.64862107605335	4.62499001767521
BA3176	6.52988298875597	7.12422017929786
BA3258	6.9924430115513	6.29048213777498
BA3295	6.93764309063722	6.45945806358587
