	NPM1	IDH2
BA2080	8.92748837970555	8.7420670822246
BA2081	9.00255657247606	8.62242404966029
BA2354	9.30238239860393	8.03197078783115
BA3273	7.24904224136933	8.71530617987172
BA2893	9.50601427714714	7.97069985635942
BA2044	8.43758065182973	8.60067902691643
BA2489	9.15628939970288	8.3311533449718
BA2309	9.05942450247106	8.77501554362266
BA2720	7.7605970351598	7.72941398094
BA2908	9.83621907237271	8.46065657230778
BA2054	8.54508752883457	7.90191887122195
BA2872	8.00271116464237	8.7420670822246
BA2526	9.09600320401444	7.97556074370465
BA2041	9.02011485988608	9.11460476788528
BA2464	9.07395764638915	8.03197078783115
BA2902	8.82734862624236	7.84883391972247
BA2541	9.18338030789918	8.09989277486394
BA2143	7.22867709025789	7.95296500400789
BA2094	7.79956921933088	8.51679913189176
BA2769	8.904319577833	8.45696872743274
BA2843	8.88148184246882	9.00955709168753
BA2592	9.57909169555586	8.77804587995587
BA2497	8.09067732991193	8.52190108216259
BA2718	8.61151153389318	9.77539354132974
BA2575	7.3614587281193	8.0044307958278
BA2096	9.4000752436972	8.90103696609653
BA2593	10.3090915070605	7.29348678773891
BA2791	9.14481502348153	7.98067391429632
BA2620	8.61695773628636	7.72809482559201
BA2629	9.4000752436972	8.34906675857089
BA2870	9.26745559419095	8.60608533344799
BA2423	7.73861349646242	7.46260985261637
BA2682	9.14863087419242	8.11478606741055
BA2276	8.91090509269608	8.5872495962732
BA2348	7.52987979374564	7.57949702449786
BA2709	8.81177412986094	8.36722488709977
BA2789	9.36480042798147	8.77501554362266
BA2694	8.92748837970555	7.95452812467512
BA2538	8.40429460371975	8.78108213178214
BA2583	9.44070228005406	8.68676863894814
BA2415	7.67493502317828	7.4333053034535
BA2722	7.0623479587219	8.55813210635661
BA2806	9.01306871894599	8.20012237793382
BA2221	7.99413751864958	8.33560901482561
BA3025	9.2389471182711	9.00255657247606
BA2514	8.62153057515291	8.09800077099819
BA2520	9.08127310626888	8.96458579397726
BA2441	7.40108920011618	8.31347995218337
BA2153	9.57909169555586	7.85777881958234
BA2479	8.22832881693221	7.08297551023298
BA2281	9.01658796485945	8.48906113697349
BA2657	8.33560901482561	7.76200686781066
BA2932	9.12210512882866	8.48906113697349
BA2123	9.57909169555586	9.3735473533766
BA2844	9.22687989289351	8.96800104667789
BA2660	9.06304565250042	8.65565049707964
BA2836	8.74800571415782	8.06147774301482
BA3027	7.63041516939983	7.12040364606583
BA2714	8.89122942781574	7.85633367820174
BA2139	6.80299244523417	6.79931174111644
BA2251	8.32671267592458	9.4000752436972
BA2952	8.16254296358662	7.71347289714959
BA2440	8.39493145233583	7.89883083701412
BA2036	8.75695672842528	7.88793681406652
BA2828	8.09804401257278	8.0095286113404
BA2292	8.98173476670244	9.64008823387741
BA2410	9.34313727945847	8.30255392241405
BA2051	7.46363654414575	7.5032888272442
BA2532	7.45571345371651	7.76614073791854
BA2986	8.95099667095566	8.4424022836884
BA2494	8.39027400222105	8.41135949860071
BA2515	8.66407371953991	8.77804587995587
BA2748	9.33883912107995	8.85577669200061
BA2970	8.8589671548512	8.42798766039968
BA2622	8.65006116973985	7.29431703031285
BA2839	8.72438748273975	8.62516478231551
BA2052	9.10713869224013	8.74800571415782
BA3011	8.50277388292747	7.85205086731265
BA2868	9.00255657247606	8.84624370479657
BA2510	9.01658796485945	8.79942491234482
BA2065	9.20696376307392	8.24509615455004
BA2691	8.11104544817006	7.21224786715344
BA2374	8.21222936163239	9.14863087419242
BA2804	8.8879736022598	8.83362186336888
BA2670	7.93824432889201	6.96289154217268
BA2675	9.08494318011795	8.34456564828853
BA2589	8.38563253120242	7.41008797800013
BA2031	8.87824586229709	7.68134464101013
BA2198	9.39118419839355	8.64171611871059
BA2066	8.28097335559112	7.64377441186557
BA2344	9.57411368730524	8.97142354261209
BA2459	9.38404554334867	8.80432724529814
BA2229	8.53473617000875	7.46065818949753
BA2559	8.68391306436784	7.72417589543797
BA2093	9.23491479941431	8.51679913189176
BA2000	8.08701091285537	9.25517667754352
BA2425	8.47600328572046	8.29571260021178
BA2905	9.22687989289351	8.42798766039968
BA2304	7.16215175411855	7.59101188148724
BA2976	8.65285322774346	8.13938594647296
BA2386	9.09970659968869	8.05626383418968
BA2035	9.33455230246716	8.904319577833
BA2760	8.29820901257083	7.83268389248944
BA2201	8.89776108628452	7.88494695067266
BA2355	8.59260663428802	7.42415546195164
BA2113	8.50026123971081	9.00613487905274
BA2155	8.99906762077278	9.23089240757758
BA2955	8.07971165578759	7.60765864505298
BA2502	8.05457002396872	7.56321071069528
BA2322	8.93082572022568	8.41608983118813
BA2376	6.97993778438247	6.9944372976249
BA2020	9.15245565249128	8.87824586229709
BA2226	8.81487669872437	7.35863482899504
BA2200	9.30065851731011	7.94145634611773
BA2121	8.92748837970555	8.45696872743274
BA2944	9.90525526471174	8.7420670822246
BA2033	7.17761745050204	6.87847286019697
BA2867	8.66126072825912	8.68391306436784
BA2089	7.65513327960109	7.5725144548201
BA2224	8.38331776349613	8.09804401257278
BA2046	9.3217592552912	9.16784487350203
BA2972	9.160132157513	8.54249270039127
BA2978	7.85205086731265	7.48490734822992
BA2829	8.79635277497105	7.62925234894777
BA2851	8.5529001392332	7.99068122497693
BA2587	8.72438748273975	8.42083657982967
BA2461	7.94314055717551	7.51191595859432
BA2695	7.68652733200955	7.10693286579065
BA2623	9.57411368730524	8.50918028997297
BA2024	7.58759859001841	7.248181873002
BA2426	8.88148184246882	8.38795127420314
BA2271	7.95452812467512	8.0301567645062
BA3004	8.57129520837751	8.34007975821985
BA2579	7.85633367820174	7.81538872947805
BA3010	9.00605305286098	8.03884116383771
BA2662	8.34232080533324	8.43758065182973
BA2674	9.15245565249128	7.58991392876001
BA2280	8.50160207030541	7.90803356905227
BA2512	6.81629782268832	7.00146186913291
BA2658	9.070312190258	7.49358396361658
BA2394	8.21222936163239	7.93502206043898
BA2950	9.49651930986164	7.67625068419832
BA2981	8.63894476137773	8.20818067427413
BA2934	7.22625304922136	6.47279065497325
BA2539	7.8925772722697	7.49256176412129
BA2249	8.63894476137773	7.74263536016322
BA2034	8.94268168369866	7.96905854853838
BA2109	7.61245153291675	7.73332620572976
BA2242	8.12041880838799	7.66613976188412
BA2277	8.68676863894814	7.81538872947805
BA2727	9.83304132704525	7.94145634611773
BA2132	8.672544374331	8.60067902691643
BA2618	8.61151153389318	7.70961368830257
BA2521	8.672544374331	8.13747585819058
BA2846	9.1755941413251	8.63341745058943
BA2885	8.02142525655183	7.45866975783138
BA2639	9.04860912314158	8.73910632748104
BA2775	8.84941498844258	8.11853831041796
BA2402	9.26335235036244	7.68775219309565
BA2097	9.44070228005406	7.9003747386446
BA2786	9.34313727945847	8.7332018546727
BA2399	9.44070228005406	8.31787605128572
BA2850	8.91090509269608	7.5552619353094
BA2174	8.34232080533324	8.11104544817006
BA2004	7.48933909555342	7.17275321082541
BA3001	9.69817061599593	8.23061160269424
BA2311	7.93028682049466	7.9609725092348
BA2483	8.48343527695382	8.00271116464237
BA3040	9.00605305286098	9.05581138653334
BA2837	9.37793858616158	8.37639721534742
BA2724	8.5607551950315	7.66369633945432
BA2911	9.35176787188011	7.8210975174081
BA2256	9.43613726309062	8.7420670822246
BA2821	9.69817061599593	8.41372261793503
BA2233	9.19906475607931	8.74800571415782
BA2744	9.34313727945847	8.3972661940189
BA2880	8.34906675857089	8.3311533449718
BA2621	8.28097335559112	7.28438406463884
BA3002	8.42744390017979	8.55997698305646
BA2501	8.48407580140491	8.34681429629083
BA2993	8.84624370479657	7.77713213848426
BA2301	8.06147774301482	7.75780436658957
BA2852	8.29820901257083	7.53734841909383
BA2133	7.83554388846121	6.96975356458038
BA2866	9.19906475607931	8.99906762077278
BA2212	9.33455230246716	8.64171611871059
BA2685	9.39562360946183	9.08862153045619
BA2273	8.83362186336888	8.71853926395486
BA2477	9.29229417829056	8.48407580140491
BA2659	8.45453034732936	8.15090969693391
BA2124	9.49819442110274	8.70296361717243
BA2363	8.84941498844258	7.80235955590607
BA2369	8.79328666582968	8.62242404966029
BA2534	9.0271917203024	8.74800571415782
BA2400	9.46836798648192	8.09804401257278
BA2762	8.96117775713075	8.16840116234166
BA2312	8.79635277497105	7.54970729199318
BA2813	9.54457000922792	8.04060780611373
BA2211	9.17734760232419	8.61335419813792
BA2171	9.17171491689544	8.29387857030758
BA2746	7.89401548128851	7.28712238553665
BA2798	9.67679810675791	8.39493145233583
BA2809	9.1872873383188	7.88191833711993
BA2288	8.55505298542423	8.17565360284926
BA2801	8.32449794408229	7.5932544466496
BA3030	8.66873090783595	8.02685700006077
BA2588	9.44070228005406	7.83407017601998
BA2296	9.28397254525379	8.64449262965366
BA2300	8.69249597847146	8.34232080533324
BA2903	6.47376016789819	7.15557221270197
BA2473	9.13518361120238	9.20081280674415
BA2545	8.25764420926654	8.10545619155905
BA2840	8.5971359914493	7.36527517561591
BA2528	9.14863087419242	7.81249915728454
BA2646	8.84941498844258	8.27244095196937
BA3407	8.40429460371975	8.23267071257109
BA2240	8.25554427681065	8.01121552663761
BA2926	9.48238177689826	8.34456564828853
BA2272	8.26607857536642	7.33250978911574
BA2306	8.87501645157825	8.34906675857089
BA2765	7.08068398565122	7.00642277827321
BA2904	8.52958832512444	8.01121552663761
BA2883	9.05581138653334	8.52445890903765
BA2726	6.49846429425474	6.93827202821145
BA2234	7.19816924570359	8.2960419873451
BA2022	8.91751782379931	8.66407371953991
BA2228	8.48906113697349	8.79022656584331
BA2037	9.49651930986164	8.46185834013681
BA2184	9.2592593958878	9.1872873383188
BA3009	9.06304565250042	8.07064998624987
BA2842	7.37484847247432	7.21053357648558
BA2442	8.86536741111737	8.01616932095142
BA2882	7.69790613813162	7.51299557490928
BA2758	8.01121552663761	6.90161368403515
BA2705	8.4594113881339	7.53303259081949
BA2663	7.58640399756741	7.25790347094091
BA2570	9.070312190258	9.21888429779212
BA2764	7.86519796261888	8.04060780611373
BA2209	8.23267071257109	8.22240857358487
BA2989	8.87824586229709	8.68676863894814
BA2855	7.70582137825133	7.77444024847
BA2261	7.49565796423242	7.99739906746641
BA2721	8.41608983118813	7.80956394588893
BA2930	7.75371580805874	6.82612058067876
BA2728	7.74132890165977	8.15671254170946
BA2715	7.71215406681609	8.06884590575294
BA2469	7.96260346447077	7.12664090320603
BA2269	7.15633759792086	6.99377561399407
BA2098	8.09251475928632	7.65632337592004
BA2778	6.98621603600523	6.68355614720783
BA2951	9.78674968596522	8.49908497066643
BA2163	7.09568366825665	8.23473317956582
BA2379	7.31397253852267	7.06166102601644
BA2817	7.86671215518685	6.97794904447586
BA3153	7.92699657991781	9.30065851731011
BA2820	8.20414503388581	7.60280427832536
BA2723	8.22445433533228	7.51299557490928
BA2704	9.23491479941431	9.01658796485945
BA2088	8.3972661940189	8.46430959418229
BA2116	6.78491577385659	7.1940059259717
BA2584	7.87430709609213	8.98864564355709
BA3079	8.24717893447311	7.71867822819813
BA2417	8.47910806756512	8.95099667095566
BA2361	8.09067732991193	8.13747585819058
BA2450	8.75995195431454	8.1017443875296
BA2492	7.35202275514424	7.47524977931761
BA2552	9.4270458724936	9.0307417478067
BA2472	8.04060780611373	7.93502206043898
BA2994	9.04501990946176	8.49406416345013
BA2047	8.54249270039127	8.45209623715645
BA2101	8.5117153749805	7.70330320958059
BA2082	8.97829037472744	8.94761722776196
BA2879	7.48057619109315	6.90877033903166
BA2577	9.4000752436972	9.16398396797258
BA2456	8.22445433533228	7.34929269675225
BA2175	6.84399982384708	8.4424022836884
BA2824	8.58457840504288	7.878761730409
BA2507	9.15245565249128	8.46922505155083
BA2563	9.21888429779212	8.5373170330564
BA2244	8.44966638628301	7.34929269675225
BA2470	8.66407371953991	8.26607857536642
BA2984	8.74503353869987	7.77015373984418
BA2414	9.11835064360706	8.95777690896205
BA2697	7.00782899353321	6.89968682755392
BA2079	6.63915578339387	6.39786567345431
BA2999	8.59529250724368	8.41846114844672
BA2644	8.30909856685695	7.66495366812555
BA2011	8.00619097456886	7.31127241928996
BA2217	9.35176787188011	9.00955709168753
BA2454	9.13720994130471	8.86216405394702
BA2776	9.1872873383188	8.91751782379931
BA2218	9.47302564786274	8.09619809378225
BA2135	9.53000194332933	7.95296500400789
BA2914	7.96905854853838	7.50002964161751
BA2500	7.68775219309565	8.32893113987774
BA2830	9.79819104218496	8.66407371953991
BA2406	8.13176351189552	7.8894951557827
BA3108	9.44528028465592	9.37793858616158
BA2924	8.76595984417136	7.61362919863888
BA2303	7.93352218493006	7.20465709297985
BA2160	8.82110029202306	8.32007964073217
BA2038	8.40194775982719	8.43998936441936
BA2602	8.32893113987774	7.83268389248944
BA2964	7.878761730409	8.50160207030541
BA2898	7.94635895319707	7.92215119859177
BA3003	7.88191833711993	7.98220941306141
BA2111	8.01457218763256	8.24717893447311
BA2827	8.18020169656618	8.34681429629083
BA2912	8.18217944661747	7.99739906746641
BA2437	8.21832699326225	8.49908497066643
BA2283	7.92868137841977	7.86671215518685
BA2057	7.89563066633541	8.09619809378225
BA2633	8.3603866090308	8.50412364911741
BA3034	7.97720455656684	8.05288390011611
BA2607	8.18813169577028	8.40664550150058
BA2761	8.40194775982719	7.87281860469351
BA2795	8.00271116464237	7.96577419756633
BA2182	8.19411260375688	8.1336646480907
BA2152	7.89401548128851	8.22036612888066
BA2381	9.55927298456459	9.34313727945847
BA2931	8.34456564828853	8.21020338316209
BA2040	7.72277870826456	7.92364245319313
BA2590	9.34744684153524	9.28812805203208
BA3195	9.4045391740165	8.47910806756512
BA2516	9.40177461105289	8.32191640184945
BA2353	9.62461563502098	8.68676863894814
BA3036	9.44070228005406	8.0095286113404
BA2971	8.05801802157941	8.14502683997756
BA3410	7.99739906746641	7.98220941306141
BA3118	8.8525926437112	8.30691336971867
BA3206	9.09600320401444	8.09804401257278
BA3202	8.84307877151568	8.6279105840654
BA3217	9.33455230246716	8.27670009201677
BA3405	7.61245153291675	7.92364245319313
BA3306	9.27982760161886	8.37180321609369
BA3371	8.91420804405317	8.62516478231551
BA3413	9.33027676031699	8.81487669872437
BA3411	8.88148184246882	7.98898804212453
BA3133	7.55977224878375	8.34232080533324
BA3164	8.77804587995587	8.30255392241405
BA3451	7.44242521067177	7.51413414557592
BA3286	8.50412364911741	8.7361512573159
BA3212	7.50105244518025	8.57865830342714
BA3103	8.7420670822246	8.7361512573159
BA3271	8.92748837970555	7.97894297933459
BA3152	7.13359161213086	7.94314055717551
BA3095	8.61695773628636	8.46430959418229
BA3192	9.4000752436972	8.43998936441936
BA3251	8.7420670822246	8.42798766039968
BA3362	7.81686981561798	8.88653621315296
BA3400	8.15477520582082	8.02508710399741
BA3135	9.25517667754352	8.83676787171411
BA3408	8.42321613548815	7.02274319881886
BA3187	8.65006116973985	8.53215993801742
BA3098	8.77804587995587	8.73025810259064
BA3435	9.4000752436972	7.96744532914178
BA3261	9.06667487040862	8.66407371953991
BA3203	7.19738153999511	8.15090969693391
BA3174	7.89563066633541	7.617186143553
BA3317	9.90525526471174	8.42559982560594
BA3299	8.268195867683	7.92868137841977
BA3221	7.54085820588458	7.07556396699123
BA3347	7.9003747386446	7.68134464101013
BA3235	6.9965338713589	6.732801148639
BA3126	7.65148276489013	7.15557221270197
BA3380	9.05220627117217	8.41608983118813
BA3089	9.4917929010063	7.89883083701412
BA3109	7.91267481802265	7.04851156959908
BA3114	8.27456876079558	7.58991392876001
BA3418	9.1755941413251	8.19611264417946
BA3245	6.72876764999848	8.05457002396872
BA3085	9.2109276242084	8.11104544817006
BA3128	9.4045391740165	8.78717245605116
BA3423	9.59916222255831	8.29820901257083
BA3173	9.26335235036244	8.84307877151568
BA3171	7.55754763062472	7.27205163282357
BA3277	8.79022656584331	8.56601564488201
BA3210	8.24301678047805	7.80094268898657
BA3157	10.1099887487995	8.51934782702254
BA3433	8.7214605815193	8.27244095196937
BA3322	8.25554427681065	8.17625565039323
BA3374	8.92415796681604	8.43758065182973
BA3450	8.63894476137773	8.52190108216259
BA3167	9.04501990946176	8.40900046313029
BA3269	7.80392510487274	7.24647814947882
BA3110	9.20870997646767	8.54953218061743
BA3156	9.73079295605488	7.51732737025111
BA3226	9.55927298456459	7.87430709609213
BA3421	8.25344779136567	7.45670028367566
BA3232	9.03786515454843	8.16840116234166
BA3289	7.61833712147791	6.86648111845466
BA3430	7.74666982029682	7.16953610700443
BA3145	8.61695773628636	8.21629115879124
BA3399	7.84567146798846	7.41107466475047
BA3449	9.45447558148811	8.19012213724112
BA3384	8.824221356442	8.16059641320183
BA3427	7.21134659078952	7.3548407117676
BA3163	7.08148396341999	7.550843282623
BA3158	9.2592593958878	8.81487669872437
BA3436	9.67679810675791	8.18416035809344
BA3154	7.76749698582267	7.9003747386446
BA3162	8.60337970015667	8.3558471237735
BA3352	9.67313133431446	8.70008120144039
BA3084	8.78717245605116	8.8717935877338
BA3149	7.8210975174081	7.40108920011618
BA3169	8.24301678047805	8.25974759702626
BA3180	9.11460476788528	8.81487669872437
BA3255	8.64449262965366	8.01284698319857
BA3438	9.3735473533766	8.57394218930808
BA3345	7.67751428719864	7.574849932275
BA3403	8.41372261793503	7.99413751864958
BA3431	7.86519796261888	7.06807720975175
BA3181	8.39960495989321	7.3445927403943
BA3341	7.99413751864958	7.9003747386446
BA3191	8.36494157515656	7.47212920454885
BA3197	8.97829037472744	8.78412431760784
BA3448	9.08494318011795	8.37180321609369
BA3453	8.80867768640892	8.23473317956582
BA3406	8.79635277497105	7.99246857024867
BA3308	9.38675693832204	8.69824500910271
BA3186	8.48399844841995	8.55765692487222
BA3334	8.7214605815193	8.08518191159815
BA3447	9.60422004710875	8.22036612888066
BA3116	8.70401585675217	8.28956252610494
BA3280	9.25110414260315	7.69790613813162
BA3185	8.5373170330564	8.60337970015667
BA3094	8.59798330037588	7.97720455656684
BA3318	8.47663077360064	8.21629115879124
BA3216	8.8879736022598	7.72417589543797
BA3332	9.36916799017741	8.97829037472744
BA3214	9.51245452204643	8.59445024196475
BA3099	8.8717935877338	8.24926512843891
BA3141	9.43158515365849	8.30691336971867
BA3373	8.78108213178214	8.59260663428802
BA3319	7.51413414557592	7.78401208165605
BA3328	8.07971165578759	7.99915514777274
BA3339	8.07425460403884	7.35673455123978
BA3240	8.97485330936457	9.43158515365849
BA3142	8.62516478231551	7.7605970351598
BA3333	8.98864564355709	8.61968837224666
BA3381	8.18217944661747	8.58992566833602
BA3290	8.25344779136567	7.82549928808227
BA3207	7.11965805588277	6.40170617544637
BA3296	7.05061628699762	7.7045927999637
BA3305	8.59260663428802	8.25554427681065
BA3434	9.18338030789918	8.25554427681065
BA3189	8.87824586229709	8.30909856685695
BA3264	8.69536777456055	8.7361512573159
BA3329	9.45616130594571	9.25691151442812
BA3417	8.57925061313916	8.12986534537924
BA3367	7.38257507273258	7.43931413643912
BA3225	6.41555515164963	7.00991256129177
BA3183	8.88148184246882	8.19411260375688
BA3222	8.70401585675217	8.79635277497105
BA3139	7.46894970580743	10.1620355969132
BA3397	6.732801148639	9.07395764638915
BA3311	7.04704814373678	6.91793209354363
BA3422	9.02011485988608	8.37409825216549
BA3228	8.92415796681604	8.40429460371975
BA3213	8.62516478231551	8.42083657982967
BA3270	8.31787605128572	7.35764711965898
BA3415	7.56784611916855	9.74736666094391
BA3324	8.5607551950315	8.53215993801742
BA3194	8.68106286594684	8.85577669200061
BA3335	8.19211577067672	7.63878607715114
BA3199	9.4000752436972	9.50125973784097
BA3326	8.22036612888066	7.66495366812555
BA3285	7.61362919863888	9.89455064759087
BA3297	8.05288390011611	8.18217944661747
BA3227	8.79022656584331	8.58457840504288
BA3394	9.39118419839355	7.31937809888862
BA3412	7.81249915728454	8.90103696609653
BA3293	8.85123237146193	8.31751248525734
BA3250	7.96260346447077	8.3926007250059
BA3177	8.77199110438686	8.9076089453561
BA3315	8.34906675857089	7.91895915389096
BA3182	7.94936162159169	8.45453034732936
BA3260	7.42825345365406	7.54625616208849
BA3369	8.66407371953991	8.32893113987774
BA3078	8.96297616127633	8.65749029731641
BA3386	8.89776108628452	8.57129520837751
BA3445	8.25135474465914	8.04765964150367
BA3452	8.77199110438686	8.40429460371975
BA3176	9.21490111990201	8.16644533071452
BA3258	7.18983138735934	7.69023500088856
BA3295	8.05972702484149	8.38100696139026
