	IDH2	NPM1
BA2935	8.03369173116136	8.55029123602985
BA2260	8.23267071257109	8.75098362594822
BA2676	8.5555137585582	8.7361512573159
BA2948	7.3014086607396	7.55189787670547
BA2524	8.30037965468589	9.2592593958878
BA2811	8.49156043324924	8.83676787171411
BA2540	7.64636707538027	8.86857724833819
BA2928	9.16398396797258	8.7214605815193
BA2302	8.06706072393759	9.38234175781362
BA2595	8.86857724833819	9.09230819306279
BA2792	8.38795127420314	8.66689198102969
BA2651	7.83268389248944	9.17948259034573
BA2619	8.57129520837751	7.88191833711993
BA3013	9.13342062895717	9.54457000922792
BA2405	8.57394218930808	9.64008823387741
BA2735	8.01965582601105	9.08494318011795
BA2856	6.83661488155882	7.56206988956539
BA2377	8.70296361717243	8.74389874448259
BA2499	8.30909856685695	9.66095938066438
BA2463	8.46370355203629	8.4179334910987
BA3023	8.57129520837751	9.17948259034573
BA2095	9.33883912107995	9.13342062895717
BA2901	7.69288267465993	8.51425498508966
BA2275	8.24717893447311	6.9401836518602
BA2387	7.88494695067266	8.68106286594684
BA2962	8.59529250724368	9.73079295605488
BA2195	8.20012237793382	8.69249597847146
BA2688	7.81385914418798	8.77262692606308
BA2787	6.53792906948021	6.35352478320916
BA2420	8.65006116973985	9.09970659968869
BA2756	8.77804587995587	9.56420444046175
BA2122	7.22786001580346	7.70840071464408
BA2053	8.13938594647296	9.16784487350203
BA2080	8.7420670822246	8.92748837970555
BA2081	8.62242404966029	9.00255657247606
BA2354	8.03197078783115	9.30238239860393
BA3273	8.71530617987172	7.24904224136933
BA2893	7.97069985635942	9.50601427714714
BA2044	8.60067902691643	8.43758065182973
BA2489	8.3311533449718	9.15628939970288
BA2309	8.77501554362266	9.05942450247106
BA2720	7.72941398094	7.7605970351598
BA2908	8.46065657230778	9.83621907237271
BA2054	7.90191887122195	8.54508752883457
BA2872	8.7420670822246	8.00271116464237
BA2526	7.97556074370465	9.09600320401444
BA2041	9.11460476788528	9.02011485988608
BA2464	8.03197078783115	9.07395764638915
BA2902	7.84883391972247	8.82734862624236
BA2541	8.09989277486394	9.18338030789918
BA2143	7.95296500400789	7.22867709025789
BA2094	8.51679913189176	7.79956921933088
BA2769	8.45696872743274	8.904319577833
BA2843	9.00955709168753	8.88148184246882
BA2592	8.77804587995587	9.57909169555586
BA2497	8.52190108216259	8.09067732991193
BA2718	9.77539354132974	8.61151153389318
BA2575	8.0044307958278	7.3614587281193
BA2096	8.90103696609653	9.4000752436972
BA2593	7.29348678773891	10.3090915070605
BA2791	7.98067391429632	9.14481502348153
BA2620	7.72809482559201	8.61695773628636
BA2629	8.34906675857089	9.4000752436972
BA2870	8.60608533344799	9.26745559419095
BA2423	7.46260985261637	7.73861349646242
BA2682	8.11478606741055	9.14863087419242
BA2276	8.5872495962732	8.91090509269608
BA2348	7.57949702449786	7.52987979374564
BA2709	8.36722488709977	8.81177412986094
BA2789	8.77501554362266	9.36480042798147
BA2694	7.95452812467512	8.92748837970555
BA2538	8.78108213178214	8.40429460371975
BA2583	8.68676863894814	9.44070228005406
BA2415	7.4333053034535	7.67493502317828
BA2722	8.55813210635661	7.0623479587219
BA2806	8.20012237793382	9.01306871894599
BA2221	8.33560901482561	7.99413751864958
BA3025	9.00255657247606	9.2389471182711
BA2514	8.09800077099819	8.62153057515291
BA2520	8.96458579397726	9.08127310626888
BA2441	8.31347995218337	7.40108920011618
BA2153	7.85777881958234	9.57909169555586
BA2479	7.08297551023298	8.22832881693221
BA2281	8.48906113697349	9.01658796485945
BA2657	7.76200686781066	8.33560901482561
BA2932	8.48906113697349	9.12210512882866
BA2123	9.3735473533766	9.57909169555586
BA2844	8.96800104667789	9.22687989289351
BA2660	8.65565049707964	9.06304565250042
BA2836	8.06147774301482	8.74800571415782
BA3027	7.12040364606583	7.63041516939983
BA2714	7.85633367820174	8.89122942781574
BA2139	6.79931174111644	6.80299244523417
BA2251	9.4000752436972	8.32671267592458
BA2952	7.71347289714959	8.16254296358662
BA2440	7.89883083701412	8.39493145233583
BA2036	7.88793681406652	8.75695672842528
BA2828	8.0095286113404	8.09804401257278
BA2292	9.64008823387741	8.98173476670244
BA2410	8.30255392241405	9.34313727945847
BA2051	7.5032888272442	7.46363654414575
BA2532	7.76614073791854	7.45571345371651
BA2986	8.4424022836884	8.95099667095566
BA2494	8.41135949860071	8.39027400222105
BA2515	8.77804587995587	8.66407371953991
BA2748	8.85577669200061	9.33883912107995
BA2970	8.42798766039968	8.8589671548512
BA2622	7.29431703031285	8.65006116973985
BA2839	8.62516478231551	8.72438748273975
BA2052	8.74800571415782	9.10713869224013
BA3011	7.85205086731265	8.50277388292747
BA2868	8.84624370479657	9.00255657247606
BA2510	8.79942491234482	9.01658796485945
BA2065	8.24509615455004	9.20696376307392
BA2691	7.21224786715344	8.11104544817006
BA2374	9.14863087419242	8.21222936163239
BA2804	8.83362186336888	8.8879736022598
BA2670	6.96289154217268	7.93824432889201
BA2675	8.34456564828853	9.08494318011795
BA2589	7.41008797800013	8.38563253120242
BA2031	7.68134464101013	8.87824586229709
BA2198	8.64171611871059	9.39118419839355
BA2066	7.64377441186557	8.28097335559112
BA2344	8.97142354261209	9.57411368730524
BA2459	8.80432724529814	9.38404554334867
BA2229	7.46065818949753	8.53473617000875
BA2559	7.72417589543797	8.68391306436784
BA2093	8.51679913189176	9.23491479941431
BA2000	9.25517667754352	8.08701091285537
BA2425	8.29571260021178	8.47600328572046
BA2905	8.42798766039968	9.22687989289351
BA2304	7.59101188148724	7.16215175411855
BA2976	8.13938594647296	8.65285322774346
BA2386	8.05626383418968	9.09970659968869
BA2035	8.904319577833	9.33455230246716
BA2760	7.83268389248944	8.29820901257083
BA2201	7.88494695067266	8.89776108628452
BA2355	7.42415546195164	8.59260663428802
BA2113	9.00613487905274	8.50026123971081
BA2155	9.23089240757758	8.99906762077278
BA2955	7.60765864505298	8.07971165578759
BA2502	7.56321071069528	8.05457002396872
BA2322	8.41608983118813	8.93082572022568
BA2376	6.9944372976249	6.97993778438247
BA2020	8.87824586229709	9.15245565249128
BA2226	7.35863482899504	8.81487669872437
BA2200	7.94145634611773	9.30065851731011
BA2121	8.45696872743274	8.92748837970555
BA2944	8.7420670822246	9.90525526471174
BA2033	6.87847286019697	7.17761745050204
BA2867	8.68391306436784	8.66126072825912
BA2089	7.5725144548201	7.65513327960109
BA2224	8.09804401257278	8.38331776349613
BA2046	9.16784487350203	9.3217592552912
BA2972	8.54249270039127	9.160132157513
BA2978	7.48490734822992	7.85205086731265
BA2829	7.62925234894777	8.79635277497105
BA2851	7.99068122497693	8.5529001392332
BA2587	8.42083657982967	8.72438748273975
BA2461	7.51191595859432	7.94314055717551
BA2695	7.10693286579065	7.68652733200955
BA2623	8.50918028997297	9.57411368730524
BA2024	7.248181873002	7.58759859001841
BA2426	8.38795127420314	8.88148184246882
BA2271	8.0301567645062	7.95452812467512
BA3004	8.34007975821985	8.57129520837751
BA2579	7.81538872947805	7.85633367820174
BA3010	8.03884116383771	9.00605305286098
BA2662	8.43758065182973	8.34232080533324
BA2674	7.58991392876001	9.15245565249128
BA2280	7.90803356905227	8.50160207030541
BA2512	7.00146186913291	6.81629782268832
BA2658	7.49358396361658	9.070312190258
BA2394	7.93502206043898	8.21222936163239
BA2950	7.67625068419832	9.49651930986164
BA2981	8.20818067427413	8.63894476137773
BA2934	6.47279065497325	7.22625304922136
BA2539	7.49256176412129	7.8925772722697
BA2249	7.74263536016322	8.63894476137773
BA2034	7.96905854853838	8.94268168369866
BA2109	7.73332620572976	7.61245153291675
BA2242	7.66613976188412	8.12041880838799
BA2277	7.81538872947805	8.68676863894814
BA2727	7.94145634611773	9.83304132704525
BA2132	8.60067902691643	8.672544374331
BA2618	7.70961368830257	8.61151153389318
BA2521	8.13747585819058	8.672544374331
BA2846	8.63341745058943	9.1755941413251
BA2885	7.45866975783138	8.02142525655183
BA2639	8.73910632748104	9.04860912314158
BA2775	8.11853831041796	8.84941498844258
BA2402	7.68775219309565	9.26335235036244
BA2097	7.9003747386446	9.44070228005406
BA2786	8.7332018546727	9.34313727945847
BA2399	8.31787605128572	9.44070228005406
BA2850	7.5552619353094	8.91090509269608
BA2174	8.11104544817006	8.34232080533324
BA2004	7.17275321082541	7.48933909555342
BA3001	8.23061160269424	9.69817061599593
BA2311	7.9609725092348	7.93028682049466
BA2483	8.00271116464237	8.48343527695382
BA3040	9.05581138653334	9.00605305286098
BA2837	8.37639721534742	9.37793858616158
BA2724	7.66369633945432	8.5607551950315
BA2911	7.8210975174081	9.35176787188011
BA2256	8.7420670822246	9.43613726309062
BA2821	8.41372261793503	9.69817061599593
BA2233	8.74800571415782	9.19906475607931
BA2744	8.3972661940189	9.34313727945847
BA2880	8.3311533449718	8.34906675857089
BA2621	7.28438406463884	8.28097335559112
BA3002	8.55997698305646	8.42744390017979
BA2501	8.34681429629083	8.48407580140491
BA2993	7.77713213848426	8.84624370479657
BA2301	7.75780436658957	8.06147774301482
BA2852	7.53734841909383	8.29820901257083
BA2133	6.96975356458038	7.83554388846121
BA2866	8.99906762077278	9.19906475607931
BA2212	8.64171611871059	9.33455230246716
BA2685	9.08862153045619	9.39562360946183
BA2273	8.71853926395486	8.83362186336888
BA2477	8.48407580140491	9.29229417829056
BA2659	8.15090969693391	8.45453034732936
BA2124	8.70296361717243	9.49819442110274
BA2363	7.80235955590607	8.84941498844258
BA2369	8.62242404966029	8.79328666582968
BA2534	8.74800571415782	9.0271917203024
BA2400	8.09804401257278	9.46836798648192
BA2762	8.16840116234166	8.96117775713075
BA2312	7.54970729199318	8.79635277497105
BA2813	8.04060780611373	9.54457000922792
BA2211	8.61335419813792	9.17734760232419
BA2171	8.29387857030758	9.17171491689544
BA2746	7.28712238553665	7.89401548128851
BA2798	8.39493145233583	9.67679810675791
BA2809	7.88191833711993	9.1872873383188
BA2288	8.17565360284926	8.55505298542423
BA2801	7.5932544466496	8.32449794408229
BA3030	8.02685700006077	8.66873090783595
BA2588	7.83407017601998	9.44070228005406
BA2296	8.64449262965366	9.28397254525379
BA2300	8.34232080533324	8.69249597847146
BA2903	7.15557221270197	6.47376016789819
BA2473	9.20081280674415	9.13518361120238
BA2545	8.10545619155905	8.25764420926654
BA2840	7.36527517561591	8.5971359914493
BA2528	7.81249915728454	9.14863087419242
BA2646	8.27244095196937	8.84941498844258
BA3407	8.23267071257109	8.40429460371975
BA2240	8.01121552663761	8.25554427681065
BA2926	8.34456564828853	9.48238177689826
BA2272	7.33250978911574	8.26607857536642
BA2306	8.34906675857089	8.87501645157825
BA2765	7.00642277827321	7.08068398565122
BA2904	8.01121552663761	8.52958832512444
BA2883	8.52445890903765	9.05581138653334
BA2726	6.93827202821145	6.49846429425474
BA2234	8.2960419873451	7.19816924570359
BA2022	8.66407371953991	8.91751782379931
BA2228	8.79022656584331	8.48906113697349
BA2037	8.46185834013681	9.49651930986164
BA2184	9.1872873383188	9.2592593958878
BA3009	8.07064998624987	9.06304565250042
BA2842	7.21053357648558	7.37484847247432
BA2442	8.01616932095142	8.86536741111737
BA2882	7.51299557490928	7.69790613813162
BA2758	6.90161368403515	8.01121552663761
BA2705	7.53303259081949	8.4594113881339
BA2663	7.25790347094091	7.58640399756741
BA2570	9.21888429779212	9.070312190258
BA2764	8.04060780611373	7.86519796261888
BA2209	8.22240857358487	8.23267071257109
BA2989	8.68676863894814	8.87824586229709
BA2855	7.77444024847	7.70582137825133
BA2261	7.99739906746641	7.49565796423242
BA2721	7.80956394588893	8.41608983118813
BA2930	6.82612058067876	7.75371580805874
BA2728	8.15671254170946	7.74132890165977
BA2715	8.06884590575294	7.71215406681609
BA2469	7.12664090320603	7.96260346447077
BA2269	6.99377561399407	7.15633759792086
BA2098	7.65632337592004	8.09251475928632
BA2778	6.68355614720783	6.98621603600523
BA2951	8.49908497066643	9.78674968596522
BA2163	8.23473317956582	7.09568366825665
BA2379	7.06166102601644	7.31397253852267
BA2817	6.97794904447586	7.86671215518685
BA3153	9.30065851731011	7.92699657991781
BA2820	7.60280427832536	8.20414503388581
BA2723	7.51299557490928	8.22445433533228
BA2704	9.01658796485945	9.23491479941431
BA2088	8.46430959418229	8.3972661940189
BA2116	7.1940059259717	6.78491577385659
BA2584	8.98864564355709	7.87430709609213
BA3079	7.71867822819813	8.24717893447311
BA2417	8.95099667095566	8.47910806756512
BA2361	8.13747585819058	8.09067732991193
BA2450	8.1017443875296	8.75995195431454
BA2492	7.47524977931761	7.35202275514424
BA2552	9.0307417478067	9.4270458724936
BA2472	7.93502206043898	8.04060780611373
BA2994	8.49406416345013	9.04501990946176
BA2047	8.45209623715645	8.54249270039127
BA2101	7.70330320958059	8.5117153749805
BA2082	8.94761722776196	8.97829037472744
BA2879	6.90877033903166	7.48057619109315
BA2577	9.16398396797258	9.4000752436972
BA2456	7.34929269675225	8.22445433533228
BA2175	8.4424022836884	6.84399982384708
BA2824	7.878761730409	8.58457840504288
BA2507	8.46922505155083	9.15245565249128
BA2563	8.5373170330564	9.21888429779212
BA2244	7.34929269675225	8.44966638628301
BA2470	8.26607857536642	8.66407371953991
BA2984	7.77015373984418	8.74503353869987
BA2414	8.95777690896205	9.11835064360706
BA2697	6.89968682755392	7.00782899353321
BA2079	6.39786567345431	6.63915578339387
BA2999	8.41846114844672	8.59529250724368
BA2644	7.66495366812555	8.30909856685695
BA2011	7.31127241928996	8.00619097456886
BA2217	9.00955709168753	9.35176787188011
BA2454	8.86216405394702	9.13720994130471
BA2776	8.91751782379931	9.1872873383188
BA2218	8.09619809378225	9.47302564786274
BA2135	7.95296500400789	9.53000194332933
BA2914	7.50002964161751	7.96905854853838
BA2500	8.32893113987774	7.68775219309565
BA2830	8.66407371953991	9.79819104218496
BA2406	7.8894951557827	8.13176351189552
BA3108	9.37793858616158	9.44528028465592
BA2924	7.61362919863888	8.76595984417136
BA2303	7.20465709297985	7.93352218493006
BA2160	8.32007964073217	8.82110029202306
BA2038	8.43998936441936	8.40194775982719
BA2602	7.83268389248944	8.32893113987774
BA2964	8.50160207030541	7.878761730409
BA2898	7.92215119859177	7.94635895319707
BA3003	7.98220941306141	7.88191833711993
BA2111	8.24717893447311	8.01457218763256
BA2827	8.34681429629083	8.18020169656618
BA2912	7.99739906746641	8.18217944661747
BA2437	8.49908497066643	8.21832699326225
BA2283	7.86671215518685	7.92868137841977
BA2057	8.09619809378225	7.89563066633541
BA2633	8.50412364911741	8.3603866090308
BA3034	8.05288390011611	7.97720455656684
BA2607	8.40664550150058	8.18813169577028
BA2761	7.87281860469351	8.40194775982719
BA2795	7.96577419756633	8.00271116464237
BA2182	8.1336646480907	8.19411260375688
BA2152	8.22036612888066	7.89401548128851
BA2381	9.34313727945847	9.55927298456459
BA2931	8.21020338316209	8.34456564828853
BA2040	7.92364245319313	7.72277870826456
BA2590	9.28812805203208	9.34744684153524
BA3195	8.47910806756512	9.4045391740165
BA2516	8.32191640184945	9.40177461105289
BA2353	8.68676863894814	9.62461563502098
BA3036	8.0095286113404	9.44070228005406
BA2971	8.14502683997756	8.05801802157941
BA3410	7.98220941306141	7.99739906746641
BA3118	8.30691336971867	8.8525926437112
BA3206	8.09804401257278	9.09600320401444
BA3202	8.6279105840654	8.84307877151568
BA3217	8.27670009201677	9.33455230246716
BA3405	7.92364245319313	7.61245153291675
BA3306	8.37180321609369	9.27982760161886
BA3371	8.62516478231551	8.91420804405317
BA3413	8.81487669872437	9.33027676031699
BA3411	7.98898804212453	8.88148184246882
BA3133	8.34232080533324	7.55977224878375
BA3164	8.30255392241405	8.77804587995587
BA3451	7.51413414557592	7.44242521067177
BA3286	8.7361512573159	8.50412364911741
BA3212	8.57865830342714	7.50105244518025
BA3103	8.7361512573159	8.7420670822246
BA3271	7.97894297933459	8.92748837970555
BA3152	7.94314055717551	7.13359161213086
BA3095	8.46430959418229	8.61695773628636
BA3192	8.43998936441936	9.4000752436972
BA3251	8.42798766039968	8.7420670822246
BA3362	8.88653621315296	7.81686981561798
BA3400	8.02508710399741	8.15477520582082
BA3135	8.83676787171411	9.25517667754352
BA3408	7.02274319881886	8.42321613548815
BA3187	8.53215993801742	8.65006116973985
BA3098	8.73025810259064	8.77804587995587
BA3435	7.96744532914178	9.4000752436972
BA3261	8.66407371953991	9.06667487040862
BA3203	8.15090969693391	7.19738153999511
BA3174	7.617186143553	7.89563066633541
BA3317	8.42559982560594	9.90525526471174
BA3299	7.92868137841977	8.268195867683
BA3221	7.07556396699123	7.54085820588458
BA3347	7.68134464101013	7.9003747386446
BA3235	6.732801148639	6.9965338713589
BA3126	7.15557221270197	7.65148276489013
BA3380	8.41608983118813	9.05220627117217
BA3089	7.89883083701412	9.4917929010063
BA3109	7.04851156959908	7.91267481802265
BA3114	7.58991392876001	8.27456876079558
BA3418	8.19611264417946	9.1755941413251
BA3245	8.05457002396872	6.72876764999848
BA3085	8.11104544817006	9.2109276242084
BA3128	8.78717245605116	9.4045391740165
BA3423	8.29820901257083	9.59916222255831
BA3173	8.84307877151568	9.26335235036244
BA3171	7.27205163282357	7.55754763062472
BA3277	8.56601564488201	8.79022656584331
BA3210	7.80094268898657	8.24301678047805
BA3157	8.51934782702254	10.1099887487995
BA3433	8.27244095196937	8.7214605815193
BA3322	8.17625565039323	8.25554427681065
BA3374	8.43758065182973	8.92415796681604
BA3450	8.52190108216259	8.63894476137773
BA3167	8.40900046313029	9.04501990946176
BA3269	7.24647814947882	7.80392510487274
BA3110	8.54953218061743	9.20870997646767
BA3156	7.51732737025111	9.73079295605488
BA3226	7.87430709609213	9.55927298456459
BA3421	7.45670028367566	8.25344779136567
BA3232	8.16840116234166	9.03786515454843
BA3289	6.86648111845466	7.61833712147791
BA3430	7.16953610700443	7.74666982029682
BA3145	8.21629115879124	8.61695773628636
BA3399	7.41107466475047	7.84567146798846
BA3449	8.19012213724112	9.45447558148811
BA3384	8.16059641320183	8.824221356442
BA3427	7.3548407117676	7.21134659078952
BA3163	7.550843282623	7.08148396341999
BA3158	8.81487669872437	9.2592593958878
BA3436	8.18416035809344	9.67679810675791
BA3154	7.9003747386446	7.76749698582267
BA3162	8.3558471237735	8.60337970015667
BA3352	8.70008120144039	9.67313133431446
BA3084	8.8717935877338	8.78717245605116
BA3149	7.40108920011618	7.8210975174081
BA3169	8.25974759702626	8.24301678047805
BA3180	8.81487669872437	9.11460476788528
BA3255	8.01284698319857	8.64449262965366
BA3438	8.57394218930808	9.3735473533766
BA3345	7.574849932275	7.67751428719864
BA3403	7.99413751864958	8.41372261793503
BA3431	7.06807720975175	7.86519796261888
BA3181	7.3445927403943	8.39960495989321
BA3341	7.9003747386446	7.99413751864958
BA3191	7.47212920454885	8.36494157515656
BA3197	8.78412431760784	8.97829037472744
BA3448	8.37180321609369	9.08494318011795
BA3453	8.23473317956582	8.80867768640892
BA3406	7.99246857024867	8.79635277497105
BA3308	8.69824500910271	9.38675693832204
BA3186	8.55765692487222	8.48399844841995
BA3334	8.08518191159815	8.7214605815193
BA3447	8.22036612888066	9.60422004710875
BA3116	8.28956252610494	8.70401585675217
BA3280	7.69790613813162	9.25110414260315
BA3185	8.60337970015667	8.5373170330564
BA3094	7.97720455656684	8.59798330037588
BA3318	8.21629115879124	8.47663077360064
BA3216	7.72417589543797	8.8879736022598
BA3332	8.97829037472744	9.36916799017741
BA3214	8.59445024196475	9.51245452204643
BA3099	8.24926512843891	8.8717935877338
BA3141	8.30691336971867	9.43158515365849
BA3373	8.59260663428802	8.78108213178214
BA3319	7.78401208165605	7.51413414557592
BA3328	7.99915514777274	8.07971165578759
BA3339	7.35673455123978	8.07425460403884
BA3240	9.43158515365849	8.97485330936457
BA3142	7.7605970351598	8.62516478231551
BA3333	8.61968837224666	8.98864564355709
BA3381	8.58992566833602	8.18217944661747
BA3290	7.82549928808227	8.25344779136567
BA3207	6.40170617544637	7.11965805588277
BA3296	7.7045927999637	7.05061628699762
BA3305	8.25554427681065	8.59260663428802
BA3434	8.25554427681065	9.18338030789918
BA3189	8.30909856685695	8.87824586229709
BA3264	8.7361512573159	8.69536777456055
BA3329	9.25691151442812	9.45616130594571
BA3417	8.12986534537924	8.57925061313916
BA3367	7.43931413643912	7.38257507273258
BA3225	7.00991256129177	6.41555515164963
BA3183	8.19411260375688	8.88148184246882
BA3222	8.79635277497105	8.70401585675217
BA3139	10.1620355969132	7.46894970580743
BA3397	9.07395764638915	6.732801148639
BA3311	6.91793209354363	7.04704814373678
BA3422	8.37409825216549	9.02011485988608
BA3228	8.40429460371975	8.92415796681604
BA3213	8.42083657982967	8.62516478231551
BA3270	7.35764711965898	8.31787605128572
BA3415	9.74736666094391	7.56784611916855
BA3324	8.53215993801742	8.5607551950315
BA3194	8.85577669200061	8.68106286594684
BA3335	7.63878607715114	8.19211577067672
BA3199	9.50125973784097	9.4000752436972
BA3326	7.66495366812555	8.22036612888066
BA3285	9.89455064759087	7.61362919863888
BA3297	8.18217944661747	8.05288390011611
BA3227	8.58457840504288	8.79022656584331
BA3394	7.31937809888862	9.39118419839355
BA3412	8.90103696609653	7.81249915728454
BA3293	8.31751248525734	8.85123237146193
BA3250	8.3926007250059	7.96260346447077
BA3177	8.9076089453561	8.77199110438686
BA3315	7.91895915389096	8.34906675857089
BA3182	8.45453034732936	7.94936162159169
BA3260	7.54625616208849	7.42825345365406
BA3369	8.32893113987774	8.66407371953991
BA3078	8.65749029731641	8.96297616127633
BA3386	8.57129520837751	8.89776108628452
BA3445	8.04765964150367	8.25135474465914
BA3452	8.40429460371975	8.77199110438686
BA3176	8.16644533071452	9.21490111990201
BA3258	7.69023500088856	7.18983138735934
BA3295	8.38100696139026	8.05972702484149
