	IDH2	NPM1
BA2392	9.29647098090766	9.6874475749889
BA2611	9.30906602396076	9.60929418124753
BA2506	9.29647098090766	9.61949185438657
BA2430	9.27569316532541	9.61949185438657
BA2448	9.29229417829056	9.61438474364243
BA2730	9.23491479941431	9.62461563502098
BA2845	9.2109276242084	9.57909169555586
BA2326	9.23089240757758	9.58408544068247
BA2341	9.25517667754352	9.58909503454725
BA2612	9.2109276242084	9.55927298456459
BA2973	9.22287720595147	9.56915130536806
BA2390	9.25517667754352	9.55927298456459
BA3218	9.21490111990201	9.56420444046175
BA3105	9.2429894144776	9.53000194332933
BA3402	9.22687989289351	9.53484314535953
BA3276	9.28397254525379	9.51556606369543
BA2409	6.82851443258156	7.88494695067266
BA3037	8.03722226484621	9.1755941413251
BA2496	8.28311530497155	8.3156761580726
BA2172	9.30485684547982	9.2592593958878
BA2865	7.78959302181462	9.53484314535953
BA2923	7.82688083190866	6.98208266015901
BA2751	8.18796359837961	9.13897207935234
BA2480	8.39960495989321	8.38563253120242
BA2286	8.48158973981744	9.51078302100883
BA2922	8.46430959418229	9.78674968596522
BA2452	9.09230819306279	9.33027676031699
BA3379	8.50160207030541	9.31328611186612
BA2887	8.79635277497105	9.06304565250042
BA2712	8.63894476137773	7.82549928808227
BA2068	8.32228693534529	8.67821802831458
BA2236	8.19211577067672	8.75995195431454
BA2104	7.5725144548201	6.91599118004167
BA3124	7.54733361982974	8.84307877151568
BA3395	8.40664550150058	8.58457840504288
BA2921	8.8525926437112	9.00605305286098
BA2449	9.26335235036244	9.52036350053221
BA2003	7.84883391972247	9.04501990946176
BA2360	9.07761127342397	9.4000752436972
BA2802	8.34007975821985	7.15633759792086
BA2235	7.79956921933088	8.83362186336888
BA2858	8.67537853618004	8.91420804405317
BA3038	7.93502206043898	7.73462168625585
BA3006	8.15090969693391	9.15245565249128
BA2245	8.58992566833602	9.0307417478067
BA2667	8.40664550150058	9.13720994130471
BA2239	7.47952389617521	8.17428733914348
BA2782	7.29077391107671	7.59101188148724
BA2649	8.78108213178214	9.2429894144776
BA2488	7.92699657991781	7.91111348596979
BA2861	8.59798330037588	9.11460476788528
BA2909	7.35673455123978	7.83704881770087
BA2429	7.43426786956565	8.66493693752935
BA2653	8.88978486658959	8.41556616709075
BA2134	7.41497012248878	8.30037965468589
BA2947	8.22627943224245	9.91920628125652
BA2032	7.75510135803604	9.3735473533766
BA2162	7.46474071975909	8.85577669200061
BA2564	8.24301678047805	8.74800571415782
BA2597	7.85205086731265	8.13547459853116
BA3243	7.96905854853838	8.84307877151568
BA2106	8.44481942009045	9.54945587390153
BA2427	7.99413751864958	8.91090509269608
BA2841	9.26745559419095	9.13342062895717
BA2446	8.52190108216259	8.33784249776874
BA2645	9.14481502348153	8.42798766039968
BA2525	6.8791208631907	8.34456564828853
BA2876	7.46260985261637	8.61151153389318
BA2357	8.73910632748104	8.95777690896205
BA2546	8.06706072393759	8.0301567645062
BA2742	7.80094268898657	7.87584460904621
BA2316	8.04414638908848	8.22855584188171
BA2421	8.03197078783115	8.28526081080175
BA2087	8.4934060566155	9.10147698629206
BA2910	8.50664971851981	9.22287720595147
BA2148	7.08821062221174	7.95609226155088
BA2063	6.611693175134	8.34232080533324
BA2329	8.0095286113404	8.3972661940189
BA3178	8.03550248502968	8.76897254396233
BA2072	8.53215993801742	8.41135949860071
BA3029	7.69921272259806	8.78717245605116
BA2733	8.22650342209935	8.96458579397726
BA2995	8.41846114844672	8.45209623715645
BA2069	8.65565049707964	8.46185834013681
BA2100	7.63755645913212	8.70690950167434
BA2681	8.51679913189176	9.52517542791568
BA2248	8.30473182450184	9.19906475607931
BA2832	8.3695120975799	8.18813169577028
BA2308	8.26607857536642	9.48708042008341
BA2413	8.32449794408229	9.4045391740165
BA2701	7.60395254604328	8.7361512573159
BA2634	7.81249915728454	8.22240857358487
BA2677	8.27670009201677	8.79635277497105
BA2937	8.23061160269424	8.25344779136567
BA2600	8.16254296358662	9.2429894144776
BA2019	8.7332018546727	8.12986534537924
BA2412	7.24218373520164	6.82309107200081
BA2334	8.12230223339654	8.94087956106744
BA2050	8.72731998420373	9.34744684153524
BA3230	8.51934782702254	8.78108213178214
BA2953	9.03786515454843	9.69817061599593
BA2481	8.41135949860071	8.58191208164573
BA2731	7.72809482559201	8.46185834013681
BA2294	8.69249597847146	9.25517667754352
BA2418	7.83704881770087	9.1410080593907
BA2816	8.27244095196937	9.14863087419242
BA2656	8.50412364911741	8.93082572022568
BA2814	8.7332018546727	7.63755645913212
BA2631	8.03722226484621	9.3561004357089
BA2023	7.84567146798846	8.3311533449718
BA2375	7.84127876561754	8.84941498844258
BA2485	8.52886682883828	8.78899864293157
BA2455	7.18644077892568	8.3156761580726
BA2025	8.672544374331	8.56338303703764
BA2636	8.25554427681065	9.10713869224013
BA2325	7.05796014084047	7.29687122589928
BA2169	8.85577669200061	8.51934782702254
BA2156	8.78108213178214	9.48238177689826
BA2511	7.46784096415085	8.46430959418229
BA2939	7.72545959564587	9.41350421836705
BA2168	8.29820901257083	9.20300948929151
BA2505	8.14705635633251	9.09230819306279
BA2860	8.42321613548815	8.97485330936457
BA2707	8.66689198102969	9.12210512882866
BA2871	7.80682500789732	8.66689198102969
BA2655	8.7420670822246	9.36916799017741
BA2227	8.0301567645062	9.42251934116338
BA2125	8.3695120975799	7.76334677298606
BA2523	8.58992566833602	9.33455230246716
BA2603	7.97230357086309	8.99558616821901
BA2808	8.20213208675208	8.70112769787832
BA2282	7.09119041085949	7.26503778677364
BA2482	8.43037965011906	9.04501990946176
BA2812	8.25764420926654	8.81487669872437
BA2822	9.45324250904435	7.14998539597838
BA2594	8.40194775982719	8.42798766039968
BA2747	8.55813210635661	9.35176787188011
BA2561	8.07789379739417	9.09970659968869
BA2567	6.56478809528508	7.54085820588458
BA2906	8.95099667095566	8.80250309714617
BA2956	7.83985748399556	8.11104544817006
BA2474	7.82988769642495	9.08127310626888
BA2737	8.0301567645062	8.02685700006077
BA2110	7.17595663951225	7.71347289714959
BA2992	8.37180321609369	9.18338030789918
BA2220	8.79022656584331	9.00955709168753
BA2772	8.22445433533228	9.42251934116338
