	NPM1	SRP72
BA3308	9.38675693832204	7.93658206656699
BA3186	8.48399844841995	7.34177007998791
BA3334	8.7214605815193	7.46260985261637
BA3447	9.60422004710875	7.75227162313381
BA3116	8.70401585675217	7.48815372498195
BA3280	9.25110414260315	8.12230223339654
BA3185	8.5373170330564	7.47524977931761
BA3094	8.59798330037588	7.7045927999637
BA3318	8.47663077360064	7.54625616208849
BA3216	8.8879736022598	7.70330320958059
BA3332	9.36916799017741	7.98386019261508
BA3214	9.51245452204643	7.8210975174081
BA3099	8.8717935877338	7.81249915728454
BA3141	9.43158515365849	7.33073792117204
BA3373	8.78108213178214	7.92364245319313
BA3319	7.51413414557592	7.07025966230358
BA3328	8.07971165578759	7.06885426902192
BA3339	8.07425460403884	6.77834045992494
BA3240	8.97485330936457	7.49042755149826
BA3142	8.62516478231551	7.32880266743386
BA3333	8.98864564355709	7.79956921933088
BA3381	8.18217944661747	7.04133576078419
BA3290	8.25344779136567	7.18154554634955
BA3207	7.11965805588277	6.89180239315318
BA3296	7.05061628699762	6.45455803457724
BA3305	8.59260663428802	7.60161963856079
BA3434	9.18338030789918	7.40200052886874
BA3189	8.87824586229709	7.41308925427417
BA3264	8.69536777456055	7.9609725092348
BA3329	9.45616130594571	7.4827611671997
BA3417	8.57925061313916	7.48695721637732
BA3367	7.38257507273258	6.84221092467626
BA3225	6.41555515164963	7.32779530563549
BA3183	8.88148184246882	7.9003747386446
BA3222	8.70401585675217	7.74951233053604
BA3139	7.46894970580743	8.14694629513828
BA3397	6.732801148639	8.08335570616425
BA3311	7.04704814373678	6.57871147435603
BA3422	9.02011485988608	7.41990509181254
BA3228	8.92415796681604	7.79384765019346
BA3213	8.62516478231551	7.27022547665066
BA3270	8.31787605128572	7.24138386390375
BA3415	7.56784611916855	8.23061160269424
BA3324	8.5607551950315	7.71867822819813
BA3194	8.68106286594684	7.58640399756741
BA3335	8.19211577067672	7.81832288003789
BA3199	9.4000752436972	7.64511152399424
BA3326	8.22036612888066	7.47212920454885
BA3285	7.61362919863888	7.96577419756633
BA3297	8.05288390011611	7.54856623986657
BA3227	8.79022656584331	7.79956921933088
BA3394	9.39118419839355	7.69790613813162
BA3412	7.81249915728454	7.89883083701412
BA3293	8.85123237146193	7.64636707538027
BA3250	7.96260346447077	7.40108920011618
BA3177	8.77199110438686	7.58065740201547
BA3315	8.34906675857089	7.99246857024867
BA3182	7.94936162159169	7.39139112472357
BA3260	7.42825345365406	6.76777472760262
BA3369	8.66407371953991	7.62437772428186
BA3078	8.96297616127633	7.30225620212896
BA3386	8.89776108628452	7.35202275514424
BA3445	8.25135474465914	7.65898516432112
BA3452	8.77199110438686	7.42202383501609
BA3176	9.21490111990201	7.82688083190866
