	ID_sample	TypeMutation	ExpressionGene
146	BA2387	mut30	7.46363654414575
147	BA2394	mut30	6.12947427780454
148	BA2399	mut30	6.8791208631907
149	BA2400	mut30	6.90940702790402
150	BA2402	mut30	5.83678289113702
151	BA2405	mut30	5.17133494272832
152	BA2409	mut30	6.7240814115045
153	BA2410	mut30	4.87481382301932
154	BA2413	mut30	5.4113491881704
155	BA2414	mut30	7.55189787670547
156	BA2415	mut30	6.30695343234241
157	BA2417	mut30	6.22157033382946
158	BA2418	mut30	6.13331916927191
159	BA2420	mut30	7.47416545591404
160	BA2421	mut30	5.73053658482108
161	BA2423	mut30	5.05998896160971
162	BA2425	mut30	5.8584977958134
163	BA2426	mut30	5.90761820174496
164	BA2427	mut30	4.58834815635997
165	BA2429	mut30	6.58673582096521
166	BA2441	mut30	7.44839655086442
167	BA2442	mut30	6.36982886713941
168	BA2446	mut30	7.02624764830014
169	BA2449	mut30	5.89918966262517
170	BA2450	mut30	7.39734461578024
171	BA2452	mut30	6.21802371577529
172	BA2454	mut30	7.37198491161906
173	BA2455	mut30	6.16950493399515
174	BA2456	mut30	5.43733644220612
175	BA2459	mut30	5.71368801694621
176	BA2461	mut30	5.94954564902513
177	BA2463	mut30	5.50353774574014
178	BA2464	mut30	6.87466227370096
179	BA2472	mut30	5.49138177082753
180	BA2474	mut30	6.87788091401863
181	BA2477	mut30	7.25358458154246
182	BA2479	mut30	5.29451713018208
183	BA2480	mut30	7.08598210070988
184	BA2481	mut30	6.14278190987981
185	BA2482	mut30	6.56583781452914
186	BA2483	mut30	6.85025853686514
187	BA2485	mut30	7.51413414557592
188	BA2489	mut30	5.07550246590364
189	BA2494	mut30	4.8850340180221
190	BA2496	mut30	6.45599883472476
191	BA2497	mut30	6.42575430557831
192	BA2499	mut30	5.5722787954592
193	BA2500	mut30	6.00261866586335
194	BA2501	mut30	6.48066088985819
195	BA2505	mut30	6.06427837502978
196	BA2510	mut30	6.43793151264448
197	BA2511	mut30	5.1329891862807
198	BA2512	mut30	6.36648969189247
199	BA2514	mut30	5.00447988229452
200	BA2515	mut30	5.15886081295599
201	BA2520	mut30	5.86536301251181
202	BA2521	mut30	7.02624764830014
203	BA2523	mut30	6.94819581980106
204	BA2524	mut30	5.1674510313935
205	BA2525	mut30	5.33325727668396
206	BA2526	mut30	5.85300580466056
207	BA2528	mut30	6.84277692729058
208	BA2534	mut30	7.20308831152753
209	BA2538	mut30	5.06527754778608
210	BA2539	mut30	6.03692689677874
211	BA2540	mut30	5.60231976530737
212	BA2541	mut30	7.19482368325309
213	BA2545	mut30	6.56532526138634
214	BA2546	mut30	5.98097884801574
215	BA2552	mut30	6.01215704616716
216	BA2559	mut30	5.6290939324601
