	SF3B1	TET2
BA2000	5.868488939678021	0.028263131178761
BA2003	2.198908352987511	0.0079191790617992
BA2004	4.138880806726062	0.7244940286632385
BA2006	2.325123064804804	0.059511206192584
BA2011	0.1380198320917367	0.0313306468759776
BA2019	2.591253168618399	0.0025961394413747
BA2020	3.566717303735739	0.0568115752787959
BA2022	1.6333312272570373	0.030981547586396
BA2023	0.695618182813505	0.0170835491820827
BA2024	2.2570122608614995	0.0975079632841343
BA2025	1.0662814523867092	0.0394396832570768
BA2031	4.244904914836965	1.0172927979789022
BA2032	0.544077751470832	0.0122300678664827
BA2033	0.5207126749297848	0.020857299328902
BA2034	3.739892901838597	0.0264212569798121
BA2035	6.2327003775731	0.0170044551392658
BA2036	9.325854998547795	4.373150755195296
BA2037	5.232376171077262	0.7007473991839456
BA2041	0.8686250591145965	0.0123535568000879
BA2044	2.7103441419906	0.6883536893787766
BA2046	0.0966780257929719	0.0163444335314689
BA2047	2.5434799755482262	0.6962248376477528
BA2050	1.5773960837625316	0.0077896302914691
BA2051	1.9603346228298677	1.026975363180506
BA2052	2.2125302187734275	0.6709428563193215
BA2053	0.5596398153343644	0.0113924666955325
BA2054	2.902457441292173	0.7002498075474897
BA2055	1.3580618091575545	0.0136431427493605
BA2063	1.0228629180029227	0.0184211659241785
BA2065	3.3052441831997457	1.688565362110286
BA2066	1.1212745563173925	0.7536605234149721
BA2068	1.42080896899582	0.0222447648148385
BA2069	1.6861525559554815	0.0263774680726963
BA2072	0.7505739552112843	1.6946341832017218
BA2079	0.6569010874044472	3.099641210241082
BA2080	0.7577356790613439	0.0162885249509034
BA2081	1.987437057210764	0.0185482907598186
BA2082	0.0575538570088242	0.0223281007433628
BA2087	1.0741895787999471	0.0104247107705799
BA2088	1.1964608794427185	0.0188876943106406
BA2089	2.2429851844755566	0.7508192240574042
BA2093	2.504220728960906	0.0142355840041177
BA2094	4.874152863123288	4.354351244682559
BA2095	2.000770656654821	0.0092130068967792
BA2096	1.4035218689792446	0.0178323605714563
BA2097	5.529201492957189	0.0232855549458832
BA2098	3.7885589952267344	0.0253215283498395
BA2100	0.3885650929638804	0.0157909333144477
BA2101	1.4843159585840475	0.0250787923683364
BA2104	1.4249106856380802	1.0276347788046305
BA2106	2.635120076761539	0.0060766988791778
BA2109	0.1013629278870352	0.0206985052595957
BA2110	1.195629336654395	0.0341263393754121
BA2113	1.3489537058579335	0.0499519718418884
BA2116	0.7321046849173004	0.0629716100864981
BA2121	0.9023855229683968	0.0598298482158444
BA2122	0.6417203906201293	0.0072926446386859
BA2123	3.840240130713588	0.0098845421943532
BA2124	5.547385135207057	1.7389321956437784
BA2125	3.133815191424848	0.0242831621534847
BA2132	2.629895091549692	0.0290258801926016
BA2133	1.889343444020188	1.0200263639783491
BA2134	1.3858377241602684	0.0211030652287675
BA2135	1.0282469461893704	0.0118967241523856
BA2139	2.3384103077608533	0.6961013487141474
BA2143	0.7740416288409281	0.0149509082088076
BA2148	0.0754874236072144	0.0131072160588413
BA2153	5.116721417047205	1.017501440792049
BA2155	0.0402624383953675	0.0028072061892116
BA2156	2.5846917601475625	0.0131053981078238
BA2162	5.054337551568456	0.0267144476888283
BA2163	4.424902398189839	0.68366809188757
BA2168	2.459866336385243	0.6757123957227248
BA2169	2.2605231584757783	0.0091308829355999
BA2171	3.878938050944237	0.0399049996761939
BA2172	0.1033096950979363	0.0108048733101552
BA2174	4.125021798269824	1.0451374315640245
BA2175	1.6714606133319954	0.0076667473415364
BA2184	10.628341810860665	0.7194209968283868
BA2195	0.8517477544056531	0.014786660286449
BA2198	9.032062076788913	0.0188840584086057
BA2200	5.909373552547744	0.0444652902827778
BA2201	0.7405867057165145	0.6911596836006432
BA2209	1.939924439760896	0.6842228040719363
BA2211	3.478055240024269	0.0349201516392464
BA2212	1.9117243822809795	0.0144898336753979
BA2217	1.8505187182282803	0.0224406819708633
BA2218	0.084710669215247	0.0101053046809498
BA2220	1.6409310910083468	0.011095034100809
BA2221	2.243354454921604	3.356947384123934
BA2224	2.0797450735301943	1.3610922070552414
BA2226	3.1108793742900542	0.1097703063679557
BA2227	4.466729377559415	0.0423362852115375
BA2228	1.4107074971754248	0.7049396469244037
BA2229	2.299403410170904	0.0184661667986393
BA2233	3.843300609317525	0.0276456865107349
BA2234	4.0845688398028654	3.0682855599518355
BA2235	3.773219992974677	0.0280520644309241
BA2236	3.873751378073389	0.7017972790700774
BA2239	1.4644137048543158	2.7018356141241413
BA2240	5.302351818144493	1.0384749572504866
BA2242	5.217936721911253	0.0458527557687142
BA2244	2.109603304943121	0.0723859879923544
BA2245	3.715063303939503	0.6800658614671792
BA2248	0.5876281095038024	0.0081655509453371
BA2249	3.458310637890213	0.7085339995570523
BA2251	12.00484402870346	4.016916877325035
BA2256	2.33433740710835	0.0084641955074056
BA2260	1.5779240094218403	0.0228184205757487
BA2261	0.0481531079451538	0.014202096819434
BA2269	0.0224406991260923	0.0182599479201823
BA2271	3.761306094239691	2.733193688348077
BA2272	2.964975913177955	1.0435875361067466
BA2273	3.045841981931842	1.0095481685618937
BA2275	2.7853284034421044	0.0578541833608581
BA2276	3.42152463196887	0.0215629277948322
BA2277	6.531068769093444	1.7117219742695118
BA2280	4.484736603606028	0.0781682841951712
BA2281	5.114091505593648	0.6760877103929204
BA2282	2.121523772811391	0.0488157261088697
BA2286	2.854157120894861	1.0188408754851623
BA2288	1.2115094864671292	0.0160883659091712
BA2292	3.7299817448043786	0.6748747945517747
BA2294	3.163226501282653	1.020893816431948
BA2296	4.481140748242528	4.047476291415756
BA2300	2.823341050544311	0.040405621231012
BA2301	1.4422802647725668	0.0480693386541861
BA2302	2.4450587800572063	1.6719903122707638
BA2304	0.5735414547284834	0.0257071447424672
BA2306	1.4378042824058233	0.6917953077788437
BA2308	2.7371780782548	0.013567078624906
BA2309	5.374018728112393	2.024615899883909
BA2311	3.3142836831548874	0.0417085388210793
BA2312	1.9396833890645215	0.0234504088519144
BA2316	0.4984972271262627	0.692205321601068
BA2322	0.7196782721354701	0.0648116663344295
BA2325	0.6144736710050318	0.0277996327106613
BA2329	1.1931826614417729	0.0265021689736465
BA2334	1.993478439709194	1.0090889119795017
BA2339	0.4699942900241933	0.6910063433843893
BA2344	2.2900026002819254	0.6778091255766263
BA2347	0.8088991835723007	0.0269929367070077
BA2348	0.883377560935554	2.353600009358496
BA2350	0.9795546142839112	0.6833030789398068
BA2354	3.580583535197325	0.0301445523991183
BA2355	3.44088195176249	0.0201924298517252
BA2357	0.7466248340609561	0.6735815727004671
BA2360	2.6603320453574324	0.0109715451672038
BA2361	2.122537525413574	0.0307357816865305
BA2363	1.6522726311963882	0.6778456426796725
BA2369	1.1059227199253063	0.0244613477003104
BA2374	2.4096833890645217	0.0311494314107895
BA2375	2.100786539663423	0.0258713926648258
BA2376	2.343366612380079	1.0635087487443624
BA2377	0.0567111603796107	0.7127730661229886
BA2379	0.7103568696863393	0.0324949259406276
BA2385	0.9035211314723832	1.015045757827109
BA2386	2.367782567770798	0.6972418363328735
BA2387	4.035369110779613	0.0148225714058225
BA2394	7.593742353118285	2.4027946860395955
BA2399	3.685799556279377	0.0137775393890704
BA2400	10.516791943992056	2.0645634764998744
BA2402	6.407256444061246	1.023996637264866
BA2405	0.2110564671748621	0.005528652515209
BA2406	1.4467520730025347	0.040444562268748
BA2409	1.3682634830700355	0.0413673173192399
BA2410	4.5260095176401	4.370057630101138
BA2412	1.3753158354127988	0.034879392650493
BA2413	3.558757620270642	0.0182149470457215
BA2414	2.306433272355962	0.0482773754836605
BA2415	3.756315385305518	2.36067067954324
BA2417	1.1675117582923902	0.0047786291584904
BA2418	1.5321366334104294	0.0110123041559572
BA2420	3.2029681153734444	0.0136485966024129
BA2421	1.154419886226261	1.3441789656322418
BA2423	3.8067645573970417	7.038602688069799
BA2425	3.107183849055916	0.0403210733351428
BA2426	0.1050925076905999	0.0337929956613149
BA2427	0.1443236529855342	0.0159953342418872
BA2429	4.061533740558772	0.6996561543253876
BA2440	4.515118540922507	0.0080414560280594
BA2441	7.48233802600586	0.0480219138450354
BA2442	3.410966293655464	0.0233640430050277
BA2446	1.5344025510134254	0.0324025002570161
BA2449	2.356064100751041	0.0114423154393732
BA2450	3.519331370196511	0.0284267731174471
BA2452	2.951904546843851	0.0155354716758225
BA2454	3.5800363507248094	0.018047063221328
BA2455	0.5393154871879091	0.689652971066809
BA2456	0.1207102191079664	0.0204795607240166
BA2459	0.0323815313075464	0.0084313143063945
BA2461	0.95278330527766	0.0892968054806638
BA2463	1.416645689538503	0.0075767455926148
BA2464	2.274301284478446	0.6853834472345514
BA2469	0.041105135024581	0.021363980720445
BA2470	1.5174264355913207	0.01767356650215
BA2472	0.1222859747483732	0.0289492100844746
BA2473	1.926382718921689	0.0211067011308024
BA2474	4.932402265134477	0.0210580643543067
BA2477	6.768566446326989	0.0346281728975752
BA2479	2.963803300077096	0.6739532514686277
BA2480	2.962812060442108	1.0444221073593345
BA2481	0.1065127406211176	0.0172490090717863
BA2482	4.55675387495229	0.6941761385866743
BA2483	4.094619043491615	0.0378076638386199
BA2485	6.688179817858615	3.024996062423485
BA2488	3.1325379968097127	1.0250380333795832
BA2489	0.4959159455066064	0.0081685808636995
BA2492	0.6517676062656149	0.0185543505965435
BA2494	5.546111050285802	0.0128572082732684
BA2496	0.936298316203406	1.6927929149864454
BA2497	0.5076979597670999	1.3623069408474044
BA2499	1.6321394161682796	0.008000697039306
BA2500	2.640884225108383	0.0854001723839118
BA2501	3.3400008819669686	0.7042225047686963
BA2502	2.2903437922450776	0.0281402482288282
BA2505	3.3599098264806018	3.6839600706292415
BA2507	1.126609034687153	0.0118115702728438
BA2510	1.117650744121614	0.0113480718047442
BA2511	0.5547863739144583	0.0092543718692051
BA2512	2.4011947991320226	0.1075506935641214
BA2514	3.45310423481002	0.0080432739790769
BA2515	2.492897976189933	0.0071223368796024
BA2520	1.384062484318475	0.0069082402134032
BA2521	3.6303167173797672	0.711674549460361
BA2523	3.255909992229567	0.0135269256198251
BA2524	1.182336976769294	0.0174618937706406
BA2525	0.927868361868006	0.0122690089042186
BA2526	1.5745202936037626	0.0141954309990368
BA2528	2.664848081189622	1.04906755184546
BA2532	1.586789054789917	0.0138699650726819
BA2534	4.342877348807292	0.0227350846472245
BA2538	5.459500768679832	0.00996848410655
BA2539	3.452706536135555	0.7187920384705837
BA2540	1.6834681450257822	0.0122750687409435
BA2541	2.4779100728231005	0.692161532693952
BA2545	2.715710302742765	0.0529161541493888
BA2546	1.1761256635660966	0.0184211659241785
BA2552	4.987072698408354	0.0174788613134701
BA2559	0.7191279551595828	0.0212764029062133
BA2561	1.0089444147921067	0.6848372188216
BA2563	2.168817586421358	0.0378909997671441
BA2564	1.1562404789384766	1.0348337857923595
BA2567	2.944546980707733	4.6892320495384805
BA2570	0.8088462579510084	0.0123188576480593
BA2575	0.5436999654816376	0.6942576565641811
BA2577	4.324663598029868	0.0187995105127364
BA2579	3.419698922327602	1.0206444146300475
BA2583	4.572907145605144	0.6797331237367547
BA2584	3.803381818707128	0.0243683160330264
BA2587	3.168909295779788	0.0670696141923273
BA2588	2.217265202905625	1.7253669349698897
BA2589	1.3964120671328928	0.009012847855047
BA2592	5.069278178464495	0.0188402695014899
BA2593	0.0398129393678121	0.0064867127014019
BA2594	1.55384779379004	0.0191772491176219
BA2595	1.1049828092472718	0.6853889010876038
BA2597	1.0624154034010471	0.0113973145649124
BA2600	1.0177168916442754	0.0236590516650613
BA2603	3.448005834667688	1.0288483006294484
BA2618	6.639709954517876	1.0562288297627986
BA2619	1.608222981017942	0.6760864984255753
BA2620	7.257136306474398	6.0250398513306
