	NPM1	PTPN11
BA2000	528.2932619271585	18.219542782458134
BA2003	717.8183224076506	7.8040697011527955
BA2004	320.01547932986267	23.30342872458385
BA2006	9.679478408126416	1.6004826372886471
BA2011	348.4981285240867	9.142654820893208
BA2019	583.7827086691859	25.37744245291497
BA2020	1236.507877965909	31.15809203904098
BA2022	916.0964949426144	27.29854595084977
BA2023	431.7839587624408	11.419457583687535
BA2024	372.1842389270018	13.726736011401666
BA2025	722.395881374441	24.950835047611832
BA2031	803.0149785649028	17.02782998227626
BA2032	795.6408037215438	15.71010207232917
BA2033	257.718883807176	18.242212046632456
BA2034	810.0015144990998	16.53136645390717
BA2035	899.358854303508	26.583636332395823
BA2036	778.587533687972	20.89728584532073
BA2037	1902.128477513421	40.94366643545465
BA2041	845.8378095871379	20.67261522590379
BA2044	585.7529247149646	18.34333961488772
BA2046	1115.1507214086078	17.585411729730065
BA2047	676.9878108900025	23.504423735007126
BA2050	742.1408316925888	13.907515870207629
BA2051	484.6791957324424	23.366134078516723
BA2052	1122.4581187120564	19.261949624300374
BA2053	856.5360596182228	12.867290962256456
BA2054	797.1291493537034	14.993963362893789
BA2055	43.55371897587268	1.006633755082628
BA2063	583.6395872324669	14.077778063650166
BA2065	1202.664762511015	23.069795136753665
BA2066	819.6683643642182	27.2320641418471
BA2068	590.7969803002536	15.062906910870607
BA2069	668.3880927899144	19.46978880228047
BA2072	443.6027357455251	12.454678245042002
BA2079	148.52736696454153	7.997761557278246
BA2080	828.9284153651536	14.89503606298556
BA2081	596.8647857517421	15.4821630138354
BA2082	1003.8557661222746	16.3883811679849
BA2087	645.4585078280003	14.330593750957004
BA2088	647.6525682652436	24.287179018068574
BA2089	803.116732804619	26.09260465882925
BA2093	717.9466283105468	24.561512322956894
BA2094	773.6307073311818	22.748881686986277
BA2095	742.4000933575526	22.08275867524768
BA2096	843.435358552685	9.72352526466828
BA2097	1869.086592927769	28.828328924838228
BA2098	446.6952569238338	4.876284013445514
BA2100	459.57170926115145	12.46941723661563
BA2101	480.9915091065376	12.119175783669691
BA2104	158.38864555593398	9.586978742432285
BA2106	1086.0029372840947	11.321304214736273
BA2109	352.7594132324559	10.593208317874211
BA2110	227.9689532482417	9.13995020349042
BA2113	618.1909565783855	24.009879624726192
BA2116	203.9687913848749	34.34745902194582
BA2121	828.9494792055228	24.169229833724117
BA2122	309.0625568800445	8.1135398106791
BA2123	1943.4570022489283	32.632638126694204
BA2124	1305.25779886148	17.33967654040313
BA2125	406.9357044659607	26.561492812193347
BA2132	578.9355872081394	19.964479748121107
BA2133	284.94185090038224	9.16995344637006
BA2134	393.43453986171255	11.503074323913488
BA2135	1084.5087100504388	16.181349060736448
BA2139	173.6594297885683	11.421152992474797
BA2143	307.1844443903837	20.10753670667429
