	DNMT3A	ASXL1
BA2000	0.3903477782106476	0.0156650526915408
BA2003	0.2200672016907105	0.0155226431216177
BA2004	1.7421872222743082	0.0254913130162346
BA2006	0.3787236170572983	0.0561093705497009
BA2011	0.5217608164496809	0.0160922814013101
BA2019	0.4474708417173635	0.0243520364568499
BA2020	0.6765599205677996	0.0357448020506978
BA2022	1.035164212553083	0.021646254628311
BA2023	0.1201300703143848	0.0109655368840786
BA2024	0.4794653993658658	0.0190828823696952
BA2025	0.2548711482159886	0.015949871831387
BA2031	0.2223031448406812	0.0135289091426943
BA2032	0.2822289193149458	0.0149530048419253
BA2033	0.1425292972381716	0.0229279407576189
BA2034	0.5984234647814147	0.026060951295927
BA2035	0.8654681646619956	0.0195101110794645
BA2036	0.4402468738806289	0.0197949302193107
BA2037	0.783361127172473	0.0299060096838507
BA2041	0.1026100021630555	0.0200797493591569
BA2044	0.3145954640236001	0.0152378239817715
BA2046	0.1527200400277926	0.0294787809740814
BA2047	1.1000234462904164	0.0254913130162346
BA2050	0.2208361160071591	0.0111079464540017
BA2051	0.1202876109750209	0.0209342067786955
BA2052	0.4628891424904828	0.0364568499003133
BA2053	0.2357331583528511	0.013101680432925
BA2054	0.1897970889603141	0.0126744517231557
BA2055	0.1016623185336721	0.0113927655938479
BA2063	0.2337397032375142	0.0438621475363144
BA2065	0.4009166650099477	0.0190828823696952
BA2066	0.3777119351024847	0.0259185417260039
BA2068	0.2375133220008568	0.0156650526915408
BA2069	0.1693877031808799	0.0170891483907718
BA2072	0.2069594922820808	0.0111079464540017
BA2079	0.2431485328158669	0.0108231273141555
BA2080	0.2891593639359263	0.017373967530618
BA2081	0.2574487849552282	0.0139561378524636
BA2082	0.3355754225575059	0.0178011962403873
BA2087	0.1543080697173639	0.0099686698946169
BA2088	0.0833651298577288	0.0226431216177727
BA2089	0.2758816049602879	0.0229279407576189
BA2093	0.4683773986052874	0.028909142694389
BA2094	0.4592247829364606	0.0168043292509256
BA2095	0.3875435221016316	0.017373967530618
BA2096	0.1225796696216249	0.013101680432925
BA2097	0.6727738141640198	0.0350327542010823
BA2098	0.4725877035538304	0.0118199943036172
BA2100	0.1089824664887933	0.0136713187126174
BA2101	0.6971560439731584	0.027485046995158
BA2104	0.053740668846797	0.0078325263457704
BA2106	0.2311583327849795	0.0160922814013101
BA2109	0.1313450186921277	0.0121048134434634
BA2110	0.0840286651574152	0.0099686698946169
BA2113	0.6525721360605183	0.0313301053830817
BA2116	0.2417840970771943	0.0273426374252349
BA2121	0.6760584898167601	0.0250640843064653
BA2122	0.0656029871370471	0.0093990316149245
BA2123	0.0959275918604528	0.0227855311876958
BA2124	0.6896924988931303	0.0197949302193107
BA2125	0.4016538372629313	0.0186556536599259
BA2132	0.5098245010712235	0.0225007120478496
BA2133	0.2320013726547507	0.0262033608658501
BA2134	0.0978162703224511	0.008686983765309
BA2135	0.5230946747168397	0.0264881800056963
BA2139	0.094658854443762	0.0089718029051552
BA2143	0.1901286905887505	0.0176587866704642
BA2148	0.1653780428761621	0.013101680432925
BA2153	0.5962602133140623	0.0196525206493876
BA2155	0.325684159573431	0.0163771005411563
BA2156	0.6192501045771407	0.0186556536599259
BA2162	0.5336746564791711	0.0172315579606949
BA2163	2.3304985680705173	0.0212190259185417
BA2168	0.4042478250562519	0.0139561378524636
BA2169	0.8900870917871619	0.0233551694673882
BA2171	0.5006416354314442	0.0259185417260039
BA2172	0.3534923133742886	0.0133864995727712
BA2174	0.4419089652347314	0.0189404727997721
BA2175	0.177572143431386	0.0294787809740814
BA2184	2.4937520176121484	0.0398746795784676
BA2195	0.2030012891780013	0.0156650526915408
BA2198	0.8296965103200213	0.0153802335516946
BA2200	0.879303672917371	0.0293363714041583
BA2201	0.0986654105296367	0.0092566220450014
BA2209	0.8738033339078843	0.0582455140985474
BA2211	1.7814047286024255	0.0270578182853887
BA2212	0.358849828842352	0.0182284249501566
BA2217	2.0109583228318337	0.0242096268869268
BA2218	0.3445802528520448	0.0155226431216177
BA2220	0.2158140627418481	0.0135289091426943
BA2221	0.1123345902334619	0.0138137282825405
BA2224	0.50439950982126	0.0146681857020791
BA2226	0.8732113967481294	0.0320421532326972
BA2227	1.1770681874430475	0.0344631159213899
BA2228	0.1756566002668675	0.0283395044146966
BA2229	0.4751961882078786	0.04044431785816
BA2233	0.652611372360466	0.0209342067786955
BA2234	0.1253648500016553	0.0183708345200797
BA2235	0.175866222457809	0.0136713187126174
BA2236	0.3285167351903352	0.015949871831387
BA2239	0.1714125851037873	0.0108231273141555
BA2240	0.5717301014229117	0.0242096268869268
BA2242	0.5819394119805501	0.0276274565650811
BA2244	0.2843519009376707	0.0162346909712332
BA2245	0.3750327072183909	0.0193677015095414
BA2248	0.3118143728257943	0.0122472230133865
BA2249	0.4332410668101266	0.0249216747365422
BA2251	1.0331853833965587	0.0206493876388493
BA2256	0.5170178480586665	0.0166619196810025
BA2260	0.1635494751200925	0.0111079464540017
BA2261	0.7411661772531666	0.0123896325833095
BA2269	0.0514481175701506	0.0074052976360011
BA2271	0.3975245005379642	0.0207917972087724
BA2272	0.2766335588647716	0.0146681857020791
BA2273	0.3883456318198185	0.0200797493591569
BA2275	0.7906998485809084	0.0300484192537738
BA2276	0.1930645223276748	0.0116775847336941
BA2277	0.8546168491637717	0.0227855311876958
BA2280	1.3403744661128272	0.0358872116206209
BA2281	0.3742486776379176	0.0200797493591569
BA2282	0.1848252696301412	0.0166619196810025
BA2286	0.2924677972517953	0.0179436058103104
BA2288	0.8689960641896194	0.0236399886072344
BA2292	0.0383764464488665	0.0182284249501566
BA2294	0.8926650952809216	0.0206493876388493
BA2296	0.7958449564827293	0.0220734833380803
BA2300	0.8105652707227917	0.0259185417260039
BA2301	0.1512653313907045	0.0192252919396183
BA2302	0.1781291916276537	0.0226431216177727
BA2304	0.1342898984526482	0.0085445741953859
BA2306	0.5401721990788467	0.0178011962403873
BA2308	0.918211471699353	0.0186556536599259
BA2309	0.1763206638680505	0.0149530048419253
BA2311	0.1760659011994245	0.0150954144118484
BA2312	0.6757120776156089	0.0183708345200797
BA2316	0.1292452424412816	0.0108231273141555
BA2322	0.7836452764609124	0.02022215892908
BA2325	0.059416367332984	0.0098262603246938
BA2329	0.1829182068266463	0.0123896325833095
BA2334	0.5601448744652351	0.0146681857020791
BA2339	0.1039325783070219	0.0153802335516946
BA2344	0.7171623628083545	0.0119624038735403
BA2347	0.0733246332693876	0.0126744517231557
BA2348	0.0563834165382755	0.0066932497863856
BA2350	0.0687448652717671	0.0095414411848476
BA2354	0.5649239948038823	0.0200797493591569
BA2355	0.2402441112801165	0.0367416690401595
BA2357	0.0769123129206903	0.018798063229849
BA2360	0.6835659009126082	0.0166619196810025
BA2361	0.9467138467155864	0.0225007120478496
BA2363	0.2013801892904489	0.0059812019367701
BA2369	0.414873241135215	0.0243520364568499
BA2374	0.4334668550253931	0.0301908288236969
BA2375	0.512061926493074	0.0215038450583879
BA2376	0.187392021027014	0.0139561378524636
BA2377	0.1966266034983252	0.0400170891483907
BA2379	0.1859523035553871	0.0210766163486186
BA2385	0.152949964951423	0.0143833665622329
BA2386	0.3828690029882881	0.0233551694673882
BA2387	0.1326860295492633	0.0143833665622329
BA2394	1.28729052993089	0.0316149245229279
BA2399	0.4459573066888792	0.0148105952720022
BA2400	0.7696569294530675	0.0338934776416975
BA2402	0.2305528668789867	0.0197949302193107
BA2405	0.1687941960019158	0.0148105952720022
BA2406	0.550402929983847	0.0155226431216177
BA2409	0.204315745002997	0.0128168612930788
BA2410	0.304621398174643	0.0234975790373113
BA2412	0.1317688752634919	0.0111079464540017
BA2413	0.4473235049280832	0.0197949302193107
BA2414	1.599491958875364	0.0249216747365422
BA2415	0.1148539006855739	0.0078325263457704
BA2417	1.337533555314113	0.0195101110794645
BA2418	0.2762351313664459	0.0113927655938479
BA2420	0.2310167770745552	0.0153802335516946
BA2421	0.1248639661925869	0.0155226431216177
BA2423	0.1345809588727959	0.0162346909712332
BA2425	0.4554703213617888	0.0183708345200797
BA2426	0.4718236560602522	0.0126744517231557
BA2427	0.1490400221697363	0.0160922814013101
BA2429	0.329031989925242	0.0227855311876958
BA2440	0.1622128696814486	0.02022215892908
BA2441	1.6139302908224038	0.0401594987183138
BA2442	0.3804119201097979	0.0185132440900028
BA2446	0.2001238359012414	0.0152378239817715
BA2449	0.2287970587036531	0.0180860153802335
BA2450	1.4455575219911612	0.02022215892908
BA2452	0.3308325464918646	0.0199373397892338
BA2454	2.200586435986676	0.0263457704357732
BA2455	0.345850794601501	0.0091142124750783
BA2456	0.1109490055855878	0.0197949302193107
BA2459	0.1343229897677482	0.0240672173170037
BA2461	0.3576983560536166	0.0249216747365422
BA2463	0.4722574616693779	0.0125320421532326
BA2464	0.3978457402927364	0.018798063229849
BA2469	0.0707174080469741	0.0125320421532326
BA2470	0.829096922119146	0.0213614354884648
BA2472	0.1427092567573498	0.0175163771005411
BA2473	0.14440797310754	0.0233551694673882
BA2474	0.6927629557403411	0.0143833665622329
BA2477	0.681689466720368	0.0242096268869268
BA2479	0.1776972071235237	0.0286243235545428
BA2480	0.3190556321984708	0.0182284249501566
BA2481	0.0963988557689032	0.01011107946454
BA2482	0.3960059195757783	0.0142409569923098
BA2483	1.2695197781603915	0.0182284249501566
BA2485	0.4396756763186226	0.015949871831387
BA2488	0.2479588444473664	0.0178011962403873
BA2489	0.0987155128266856	0.0149530048419253
BA2492	0.0661047669468101	0.0119624038735403
BA2494	0.4360524146066351	0.024636855596696
BA2496	0.1166748542849611	0.0082597550555397
BA2497	0.0989981411296462	0.0106807177442324
BA2499	0.2037565437747856	0.0139561378524636
BA2500	0.4721345142772626	0.0283395044146966
BA2501	0.4816688295202621	0.0243520364568499
BA2502	0.1638465093407732	0.0125320421532326
BA2505	0.2124773452250946	0.0132440900028481
BA2507	0.7322819781538245	0.0210766163486186
BA2510	0.1988790031605586	0.013101680432925
BA2511	0.1227612292575707	0.0166619196810025
BA2512	0.3319279693979129	0.0250640843064653
BA2514	0.1504328415425985	0.0213614354884648
BA2515	0.0942200510207396	0.0116775847336941
BA2520	0.4753243867453362	0.0142409569923098
BA2521	0.4124049363037384	0.0210766163486186
BA2523	0.2414343473868867	0.0139561378524636
BA2524	0.1617041942440691	0.0118199943036172
BA2525	0.1242240092794612	0.0408715465679293
BA2526	0.1721578891325065	0.0206493876388493
BA2528	0.5811953456406841	0.0217886641982341
BA2532	0.1418639295741579	0.0225007120478496
BA2534	1.2894096471898533	0.0213614354884648
BA2538	0.3724935018034421	0.0270578182853887
BA2539	0.2473384989090979	0.0136713187126174
BA2540	0.0392767792214953	0.0109655368840786
BA2541	0.3937315952460676	0.0136713187126174
BA2545	0.323874393433841	0.018798063229849
BA2546	0.2799703549111725	0.0128168612930788
BA2552	0.9149504511235462	0.0290515522643121
BA2559	0.14604252116698	0.017373967530618
BA2561	0.267564448818346	0.0098262603246938
BA2563	0.7464626423826584	0.0212190259185417
BA2564	0.2903125005311262	0.0112503560239248
BA2567	0.1688990342602005	0.0205069780689262
BA2570	0.5441987125534858	0.0233551694673882
BA2575	0.113993415515483	0.0074052976360011
BA2577	1.0114167075149012	0.0210766163486186
BA2579	1.02388725941294	0.0290515522643121
BA2583	0.6173553319213095	0.021646254628311
BA2584	3.188228154668748	0.0197949302193107
BA2587	0.7056228868811733	0.0229279407576189
BA2588	0.5454191265941115	0.0205069780689262
BA2589	1.1554841958513062	0.0328966106522358
BA2592	0.4516867213074516	0.0300484192537738
BA2593	0.0482078021875235	0.0126744517231557
BA2594	0.318736959768664	0.013101680432925
BA2595	0.165925845479081	0.014525776132156
