	RAD21	STAG2
BA2000	9.381081344897805	0.045373231419743
BA2003	10.804738111151956	0.0190274841437632
BA2004	13.335979114927524	0.0769230769230769
BA2006	2.270388898058533	0.0443974630021141
BA2011	4.533384234237969	0.040169133192389
BA2019	12.845973706067053	0.0617986664498292
BA2020	10.474535979065164	0.0865181330297609
BA2022	8.710936477994075	0.0530167506911693
BA2023	10.766220668380647	0.0211416490486257
BA2024	6.96521768918246	0.0845665961945031
BA2025	10.505514139483594	0.0416327858188323
BA2031	8.497243158696646	0.0066677508537973
BA2032	6.366887987848954	0.0380549682875264
BA2033	10.68218662349429	0.066352252398764
BA2034	6.3724050702506645	0.0110587087331273
BA2035	9.09435826239406	0.0483005366726296
BA2036	11.528528001706562	0.0395186209139697
BA2037	12.161082044759937	0.0796877541063587
BA2041	15.208390411040217	0.045373231419743
BA2044	11.425941509678632	0.0426085542364612
BA2046	6.153405994615816	0.0606602699625955
BA2047	7.212823003588878	0.0476500243942104
BA2050	7.305722580287018	0.0213042771182306
BA2051	10.076275553605024	0.0489510489510489
BA2052	13.286222314454694	0.0442348349325093
BA2053	7.685499593258364	0.0393559928443649
BA2054	11.47302251367756	0.0422832980972515
BA2055	0.8900090654720321	0.0203285087006017
BA2063	10.446657944155708	0.0499268173686778
BA2065	11.84997670061323	0.0434216945844852
BA2066	8.783252326731535	0.0788746137583346
BA2068	8.054864759728023	0.0367539437306879
BA2069	11.861180142963963	0.0377297121483168
BA2072	5.724137968839168	0.0289477963896568
BA2079	5.054760892054986	0.0591966173361522
BA2080	10.124380642568726	0.0250447227191413
BA2081	4.620438733254882	0.028785168320052
BA2082	8.105587557245181	0.0456984875589526
BA2087	6.064210598186296	0.0258578630671653
BA2088	11.119498790097158	0.0616360383802244
BA2089	13.153433288445951	0.0291104244592616
BA2093	13.89440940587197	0.0352902911042445
BA2094	14.301152628574505	0.0351276630346397
BA2095	9.161177992328549	0.0396812489835745
BA2096	9.584242645222831	0.024394210440722
BA2097	16.873178231003937	0.0661896243291592
BA2098	6.2107357582394345	0.0201658806309969
BA2100	6.090356050041996	0.0308993332249146
BA2101	6.636690901812592	0.0335013823385916
BA2104	5.107654904717963	0.0203285087006017
BA2106	5.7185547695433705	0.0279720279720279
BA2109	7.887808449114563	0.0491136770206537
BA2110	4.875980173627301	0.0291104244592616
BA2113	9.1025554010968	0.0398438770531793
BA2116	17.398189447644924	0.0713937225565132
BA2121	5.12776073278341	0.0546430313872174
BA2122	11.690318294638107	0.0398438770531793
BA2123	17.55701446978709	0.0494389331598633
BA2124	12.868529500425566	0.0396812489835745
BA2125	12.876343621232197	0.0546430313872174
BA2132	9.340554458045636	0.0445600910717189
BA2133	6.955488449442417	0.0455358594893478
BA2134	6.682310630032674	0.0255326069279557
BA2135	6.849923340263783	0.0380549682875264
BA2139	6.787244348233263	0.031387217433729
BA2143	13.400617340713	0.0361034314522686
BA2148	5.204481045400393	0.0273215156936087
BA2153	9.114530887927913	0.0632623190762725
BA2155	5.233148408171361	0.0278093999024231
BA2156	8.392648810880598	0.0526914945519596
BA2162	9.1097160557551	0.0489510489510489
BA2163	14.314580633635316	0.0496015612294682
BA2168	6.647345389277667	0.0139860139860139
BA2169	8.745864067224826	0.033176126199382
BA2171	10.679439120860676	0.057570336640104
BA2172	13.50883390157314	0.0336640104081964
BA2174	12.234477537030015	0.0616360383802244
BA2175	21.02068584637091	0.0754594242966336
BA2184	18.03765970365849	0.0910717189786957
BA2195	9.349963706871057	0.0369165718002927
BA2198	10.951500923300072	0.0556187998048463
BA2200	8.66317838616753	0.0725321190437469
BA2201	5.432057146746553	0.0304114490161001
BA2209	10.51849185881264	0.0559440559440559
BA2211	9.646568993096242	0.0442348349325093
BA2212	12.173442452420591	0.019190112213368
BA2217	4.573645652451456	0.0466742559765815
BA2218	4.492958654425742	0.0292730525288664
BA2220	11.27168233076358	0.0416327858188323
BA2221	9.893553288678971	0.0297609367376809
BA2224	9.397529949966035	0.0406570174012034
BA2226	10.908716981211048	0.0993657505285412
BA2227	8.563166687493254	0.0354529191738494
