	NPM1	ABL1
BA2000	528.2932619271585	0.0146845710165825
BA2003	717.8183224076506	0.0095313626532083
BA2004	320.01547932986267	0.0112418889689978
BA2006	9.679478408126416	0.0060003604902667
BA2011	348.4981285240867	0.0100919250180245
BA2019	583.7827086691859	0.0196629416005767
BA2020	1236.507877965909	0.0263392213410237
BA2022	916.0964949426144	0.0168979812545061
BA2023	431.7839587624408	0.0098017303532804
BA2024	372.1842389270018	0.0110868781542898
BA2025	722.395881374441	0.0185724585436193
BA2031	803.0149785649028	0.0146377072819033
BA2032	795.6408037215438	0.0132462148521989
BA2033	257.718883807176	0.0081723143475126
BA2034	810.0015144990998	0.0197494592645998
BA2035	899.358854303508	0.0183687815428983
BA2036	778.587533687972	0.0147530641672674
BA2037	1902.128477513421	0.0234264599855803
BA2041	845.8378095871379	0.01598774333093
BA2044	585.7529247149646	0.0127793799567411
BA2046	1115.1507214086078	0.0203460706560922
BA2047	676.9878108900025	0.0213968997837058
BA2050	742.1408316925888	0.0107462148521989
BA2051	484.6791957324424	0.0223882480173035
BA2052	1122.4581187120564	0.013585075702956
BA2053	856.5360596182228	0.0078983417447728
BA2054	797.1291493537034	0.0082660418168709
BA2055	43.55371897587268	0.0044250180245133
BA2063	583.6395872324669	0.033361571737563
BA2065	1202.664762511015	0.0192790194664744
BA2066	819.6683643642182	0.0210976928622927
BA2068	590.7969803002536	0.0152397260273972
BA2069	668.3880927899144	0.0120782263878875
BA2072	443.6027357455251	0.0101243691420331
BA2079	148.52736696454153	0.0053911319394376
BA2080	828.9284153651536	0.0201568132660418
BA2081	596.8647857517421	0.012382840663302
BA2082	1003.8557661222746	0.0226405912040374
BA2087	645.4585078280003	0.0131452775775054
BA2088	647.6525682652436	0.016995313626532
BA2089	803.116732804619	0.0200973323720259
BA2093	717.9466283105468	0.0109012256669069
BA2094	773.6307073311818	0.0125342465753424
BA2095	742.4000933575526	0.0175198269646719
BA2096	843.435358552685	0.0067429704397981
BA2097	1869.086592927769	0.0227577505407354
BA2098	446.6952569238338	0.012664023071377
BA2100	459.57170926115145	0.0066240086517664
BA2101	480.9915091065376	0.0096467195385724
BA2104	158.38864555593398	0.0069358327325162
BA2106	1086.0029372840947	0.0121449170872386
BA2109	352.7594132324559	0.0096160778658976
BA2110	227.9689532482417	0.005677721701514
BA2113	618.1909565783855	0.0232191780821917
BA2116	203.9687913848749	0.0132804614275414
BA2121	828.9494792055228	0.0142231434751261
BA2122	309.0625568800445	0.0042213410237923
BA2123	1943.4570022489283	0.0203028118240807
BA2124	1305.25779886148	0.0179434030281182
BA2125	406.9357044659607	0.0150955299206921
BA2132	578.9355872081394	0.0178821196827685
BA2133	284.94185090038224	0.0063211968276856
BA2134	393.43453986171255	0.0074351117519826
BA2135	1084.5087100504388	0.0098558038932948
BA2139	173.6594297885683	0.0064852198990627
BA2143	307.1844443903837	0.0127180966113914
BA2148	255.3043494272261	0.0149242970439798
BA2153	1331.0218556577304	0.0082390050468637
BA2155	621.3355935278439	0.012382840663302
BA2156	1073.0524097266143	0.0208399423215573
BA2162	777.1502831973705	0.0132804614275414
BA2163	222.89718635289796	0.0161968276856524
BA2168	600.1522459008418	0.0087941600576784
BA2169	515.3014576082433	0.0112076423936553
BA2171	1060.0132072311694	0.0253118240807498
BA2172	1285.5666526108653	0.0166528478731074
BA2174	695.0197814809409	0.0147224224945926
BA2175	259.9379581461479	0.019388968997837
BA2184	2459.967100585478	0.046326604181687
BA2195	669.5415256707589	0.0100342465753424
BA2198	1047.4834367515962	0.0141474405191059
BA2200	1259.7528710461302	0.0183453496755587
BA2201	527.5463422425489	0.0077883922134102
BA2209	569.168974056234	0.0153947368421052
BA2211	922.0441599225848	0.0313320115356885
BA2212	1006.7795485871216	0.0161824080749819
BA2217	794.3959000794692	0.0262707281903388
BA2218	979.1264761510888	0.0069124008651766
BA2220	1087.3233925515065	0.0089419610670511
BA2221	462.1590218189288	0.0084661139149242
