	SRSF2	BCOR
BA2000	8.232855850924276	0.0347677842970251
BA2003	9.4977144739766	0.0171595779870121
BA2004	5.562522945896354	0.037920978392253
BA2006	4.6626359318395725	0.0023649980291683
BA2011	8.33948154257171	0.0545436322464494
BA2019	9.757790556231546	0.0936744772560194
BA2020	24.05614468586043	0.0911532425463582
BA2022	13.76175498824985	0.0308737068466182
BA2023	6.170959052505648	0.0139315669678408
BA2024	13.562153332917909	0.0422907785477338
BA2025	8.058465426519131	0.0736877940309664
BA2031	5.276629236644825	0.0466605787032146
BA2032	4.763443017170353	0.084601912034605
BA2033	22.143794608866745	0.1197568500062294
BA2034	10.006225712329805	0.0628754507230147
BA2035	6.202410726195026	0.0387365420610455
BA2036	8.19574270719942	0.0339658361244341
BA2037	11.49048044339966	0.0527020794642252
BA2041	12.869687030810905	0.048488652599567
BA2044	8.48685376064178	0.0300243093528167
BA2046	9.108705272546237	0.034740553304622
BA2047	13.306666081934658	0.0391714182775149
BA2050	9.513319286237095	0.0131772047267902
BA2051	8.14805311574689	0.041604357177361
BA2052	8.873809201356487	0.1265800806110234
BA2053	7.462370487579332	0.0279786607378997
BA2054	10.430588127973053	0.0291135738209435
BA2055	4.345256847097649	0.0041387465510445
BA2063	9.467873645094436	0.0493993881314402
BA2065	6.373759297739962	0.03705796540225
BA2066	15.800296299117967	0.0708470732967242
BA2068	18.355853161765303	0.024200110089711
BA2069	10.278331861243649	0.0411967119532945
BA2072	5.902058256500613	0.0188314152028718
BA2079	7.640222263953134	0.01383639510476
BA2080	9.191369278339211	0.0417879614605866
BA2081	6.928636469183807	0.0327902131631156
BA2082	8.40840134006508	0.0342648305995481
BA2087	5.677796869229128	0.0360930411062303
BA2088	11.410047337328768	0.0362220467943202
BA2089	11.89864820678787	0.0788933761840472
BA2093	5.464961303565389	0.0307445645481986
BA2094	12.051205054450586	0.102502373376796
BA2095	8.463544127567214	0.0200478846527948
BA2096	15.000673563143634	0.0162218846833955
BA2097	17.792688397965705	0.0438062424727708
